District name,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,380,0,0,0,0,0,410,0
Jhalokathi,400,0,0,0,0,0,430,380
Perojpur,390,0,0,0,0,0,410,0
Bhola,390,340,340,300,0,0,390,370
Patuakhali,380,0,0,0,0,0,390,0
Barguna,390,0,0,0,0,0,400,0
Barisal Division,388,340,340,300,0,0,405,375
Jessore,0,0,0,0,0,0,286,185
Jhenaidah,337,243,313,233,303,200,350,265
Magura,469,0,419,0,374,0,517,0
Narail,422,0,387,0,367,0,587,358
Khulna,0,0,0,0,0,0,461,352
Bagerhat,398,360,387,350,350,350,421,370
Satkhira,0,0,0,0,0,0,285,220
Kushtia,332,0,310,0,280,0,370,0
Chuadanga,225,0,0,0,0,0,261,0
Meherpur,247,0,0,0,0,0,270,0
Khulna Division,347,301,363,292,335,275,354,292
Rajshahi,330,254,283,247,0,0,364,266
Naogaon,344,270,341,266,285,184,351,285
Natore,0,0,0,0,0,0,337,258
Chapai Nawabganj,321,300,310,250,280,200,353,321
Bogra,0,0,0,0,397,276,450,300
Joypurhat,0,0,0,0,346,250,367,290
Pabna,457,0,0,0,424,0,481,356
Sirajganj,401,0,0,0,0,0,423,250
Rajshahi Division,371,275,311,254,346,227,391,291
Rangpur,320,250,0,0,0,0,350,280
Gaibandha,0,0,0,0,0,0,364,290
Kurigram,325,325,0,0,0,0,395,300
Nilphamari,365,245,0,0,0,0,370,315
Lalmonirhat,345,255,0,0,0,0,350,290
Dinajpur,350,280,340,0,300,0,390,298
Thakurgaon,305,245,0,0,0,0,315,295
Panchagar,335,240,0,0,0,0,350,270
Rangpur Division,335,263,340,0,300,0,361,292
BANGLADESH,381,308,361,315,333,245,411,324
