District name,May-18,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,382,230
Khagrachari,300,250,0,0,0,0,375,285
Rangamati,350,250,280,200,0,0,414,290
Chittagong,467,352,441,321,403,308,503,372
Coxbazar,550,350,500,300,450,250,600,400
Comilla,489,450,422,375,411,0,511,480
Chandpur,0,0,0,0,0,0,373,0
Brahmmanbaria,430,325,400,0,355,225,480,360
Noakhali,403,0,358,0,301,0,481,0
Lakshmipur,290,0,0,0,0,0,340,0
Feni,0,0,0,0,484,,517,0
Chittagong Division,410,330,400,299,401,261,452,345
Sylhet,395,350,366,269,320,0,405,300
Maulavi Bazar,375,318,358,258,0,0,410,327
Sunamganj,300,254,0,0,0,0,350,298
Habiganj,450,317,0,0,0,0,452,317
Sylhet Division,380,310,362,264,320,0,404,310
Dhaka,450,350,435,350,405,300,482,400
Gazipur,488,392,0,0,423,275,518,401
Manikganj,400,330,0,0,0,0,425,365
Munshiganj,350,330,300,200,222,180,403,350
Narayanganj,435,350,423,419,390,325,456,364
Narsingdi,0,0,419,300,391,280,480,350
Faridpur,383,350,300,0,0,0,458,0
Rajbari,300,0,0,0,0,0,350,0
Madaripur,400,280,0,0,380,250,417,350
Gopalganj,467,383,425,333,364,283,493,472
Shariatpur,323,270,0,0,0,0,341,290
Tangail,534,391,0,0,0,0,589,400
Kishoreganj,0,0,547,,450,0,603,0
Dhaka Division,412,343,407,320,378,270,463,374
Mymensing,480,300,0,0,0,0,500,320
Jamalpur,340,0,302,200,254,189,371,275
Sherpur,0,0,450,0,0,0,500,0
Netrokona,400,0,350,300,0,0,450,350
Mymensing Division,407,300,367,250,254,189,455,315
