Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,"2017-
18"
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,4,14,0,18,57,0,71,4,0,89,61,0
43,Netrakona,0,0,572,0,0,0,12,12,15,12,12,15
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,4,14,572,18,57,0,83,16,15,101,73,15
45,Bogura,0,0,0,0,0,0,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
53,Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,0,766,0,0,1,0,0,0,0,0,1
57,Nilphamari,2,2,581,8,8,9,0,0,0,8,8,9
58,Panchagarh,32,32,5742,37,38,46,5,4,0,42,42,46
59,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0
60,Thakurgaon,2,2,1628,2,3,4,4,4,0,6,7,4
7,Rangpur,36,36,8716,47,49,60,9,8,0,56,57,60
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,120,120,49048,205,210,190,182,185,161,387,395,351
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,118,129,15154,121,114,110,3,35,40,124,149,150
8,Sylhet,238,249,64201,326,324,300,185,220,201,511,544,501
,BANGLADESH,1073,1055,220650,2438,1704,2616,780,1668,699,3218,3372,3315
