Type of Fishing,"Number of
Craft
(Trawler/
Boat)","Number of
Unit
(Gear/Net)",Catch in Metric Ton,,,
,,,Shrimp,Hilsa,"Other
Fish",Total
"A. Industrial
Trawl Fishing
a) Shrimp Trawler
b) Fish Trawler","37
216","111
648","2621
1061","0
11060","2749
102596","5370
114717"
TOTAL INDUSTRIAL,253,759,3682,11060,105345,120087
"B. Artisanal
1. Gill Net Fishing
a) Mechanized
b) Non Mechanized","20359
16831","77768
40585","0
0","251140
22300","66545
20550","317685
42850"
SUB-TOTAL,37190,118353,0,273440,87095,360535
"2. Set Bag Net Fishing
a) Seasonal (MB)
b) Seasonal (NMB)
c) All Seasonal (NMB)","10000
5200
5550","22404
10000
10025","30600
10100
1300","0
0
0","102185
1590
425","132785
11690
1725"
SUB-TOTAL,20750,42429,42000,0,104200,146200
"3. Long Line Fishing
a) Jew Fish Long Line
Mechanized
Non Mechanized
b) Other Long Line (NMB)","2500
400
325","10191
900
772","0
0
0","0
0
0","16550
500
200","16550
500
200"
SUB-TOTAL,3225,11863,0,0,17250,17250
4. Trammel Net Fishing (NMB),131,422,1140,0,4150,5290
5. Other Gears Fishing (NMB),6373,15640,2025,0,3300,5325
TOTAL ARTISANAL,67669,188707,45165,273440,215995,534600
GRAND TOTAL (A+B),67922,189466,48847,284500,321340,654687
