ila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0,2,3,2,2,3,2
4,Khulna,124,225,221,2318,18324,29,41,612,15083,2359,18936,15112
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,0,0,0,0,0,0,0,0,0,0,0,0
45,Bogura,96,3,3,3,5,6,2,0,0,5,5,6
46,Joypurhat,3,3,3,1,1,1,2,4,2,3,5,3
47,Naogaon,1,1,4,0,3,5,0,6,11,0,9,16
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,24,23,0,24,23,0
6,Rajshahi,100,7,10,4,9,12,0,33,13,4,42,25
53,Dinajpur,1,0,1,6,6,6,1,2,2,7,8,8
54,Gaibandha,1,0,1,1,1,0,0,0,0,1,1,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,0,3,0,1,0,1,0,1,2,1,1
57,Nilphamari,0,0,0,0,0,0,23,0,0,23,0,0
58,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0
59,Rangpur,0,0,6,0,0,0,0,1,3,0,1,3
60,Thakurgaon,0,0,0,0,0,0,0,0,0,0,0,0
7,Rangpur,2,0,11,7,8,6,25,3,6,32,11,12
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
,BANGLADESH,475,516,451,2521,18694,559,281,807,15419,2802,19501,15978
