Crop,2015-16,,,2016-17,,,2017-18,,
,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000' Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000' Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000' Tons"
OTHER FOOD CROPS,,,,,,,,,
Potato,,,,,,,,,
Local,170,1254,798,183,4907,898,181,4836,874
HYV,1004,2348,8676,1052,8857,9318,996,8888,8851
Total Potato,1175,2160,9474,1235,8272,10216,1174,8266,9725
Sweet Potato,61,4219,259,64,4130,263,59,4166,247
Fodder(Bhadoi & Rabi ),41,5402,224,42,5357,225,43,11819,242
Mulbery,0.46,24,28,.491,27,27,0.314,30,27
Total Fodder,41,6146,252,42,6000,252,43,6255,269
FLOWERS:,,,,,,,,,
Rose Flower,0.47,6,28,1,6,20,0.451,5,16
Marry Gold flower,1,1473,1,2,1647,3,1,1669,2
Others flower,0.48,273,0.45,219,1614,353,0.371,1774,1
1 Total Flower,1,757,29,3,767,23,3,667,19
FRUITS(Temporary),,,,,,,,,
Banana,117,6811,798,120,6715,807,121,6676,810
Pineapple,33,5991,7200,35,5970,212,35,5914,208
Melon/Bangi,10,4846,49,09,4494,41,9,4512,41
Water Melon,27,9144,250,29,8646,254,29,7833,227
Total Temporary Fruits,187,6936,1297,193,6808,1314,194,6628,1286
PERMANENT FRUITS,,,,,,,,,
Mango,93,82,1162,103,92,1288,110,76,1166
Jack Fruit,27,128,1031,35,1022,1050,25,121,1076
Papya (ripe),10,24,130,04,25,135,8,25,132
Litchi,6,59,78,07,65,90,41,66,94
Guava,8,23,214,12,22,229,11,23,242
Ber,5,35,86,07,36,90,4,48,114
Orange,1,23,3,01,24,03,221,25,3
Pamelo,0.81,35,66,01,35,66,1,37,68
Lime & Lemon,5,18,65,06,18,69,4,12,67
Tetul,0.08,42,11,0.022,39,11,15,44,12
Jamrul,0.01,35,10,0.008,34,10,0.008,34,11
Khirai,13,4,44,14,4,50,14,356,47
Other Fruits,0.01,27,15,0.037,26,16,8,21,12
Other Citrus Fruits,0.05,78,21,0.079,44,23,522,47,22
Green Coconut,12,66,423,04,76,471,193,68,445
Wood apple,0.05,52,28,0.062,50,29,18,50,28
Black Berry,0.35,45,52,0.29,44,52,47,44,50
Kamranga,0.01,41,16,0.017,37,14,7,38,15
Jalpai,0.01,45,19,0.184,40,18,21,39,18
Amra,0.01,48,36,0.247,50,40,18,53,40
Total Permanent Fruits,180,2079,3510,195,2062,3754,1288,2843,3662
Total Fruit (Tem.+ Per.),367,1349,4807,388,1349,5068,1482,3338,4948
