"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
1,Dhaka,38,52,1468,5802,344,2245,4,56,1854,8155,4.40
2,Faridpur,106,152,1342,4826,1997,10739,164,2032,3609,17749,4.92
3,Gazipur,6,8,2448,9376,1235,11634,331,5133,4020,26151,6.51
4,Gopalgonj,662,1069,1449,5594,1429,8421,61,617,3601,15701,4.36
6,Kishorgonj,307,266,2743,10399,1784,11557,36,369,4870,22591,4.64
6,Madaripur,289,417,2146,8394,449,3342,0,0,2884,12153,4.21
7,Manikgonj,345,458,1508,5870,584,4187,0,0,2437,10515,4.31
8,Munshigonj,128,183,1515,5127,625,5343,32,440,2300,11093,4.82
9,Narayangonj,103,125,1098,4065,825,6592,0,0,2026,10782,5.32
10,Narsingdi,150,213,1135,4195,840,7913,492,9330,2617,21651,8.27
11,Rajbari,144,192,2654,9094,866,5262,0,0,3664,14548,3.97
12,Shariatpur,27,37,1776,7054,734,8004,0,0,2537,15095,5.95
13,Tangail,4,6,3001,11232,4309,29684,175,2949,7489,43871,5.86
,Dhaka Div.,2309,3178,24283,91028,16021,114923,1295,20926,43908,230055,5.24
14,Jamalpur,30,40,2177,7484,788,6838,188,2882,3183,17244,5.42
15,Mymensingh,654,889,6892,23009,11496,68739,9578,265179,28620,357816,12.50
16,Netrakona,495,685,5121,18086,2071,12325,23,275,7710,31371,4.07
17,Sherpur,86,114,2344,8243,1378,10018,604,9899,4412,28274,6.41
,Mymensingh Div,1265,1728,16534,56822,15733,97920,10393,278235,43925,434705,9.90
18,Bagerhat,2237,3204,2885,8988,0,0,0,0,5122,12192,2.38
19,Chuadanga,6,9,1171,4442,1037,7425,0,0,2214,11876,5.36
20,Jashore,77,110,7960,24758,5851,49789,2886,43810,16774,118467,7.06
21,Jhinaidah,12,18,3075,11993,1753,11354,0,0,4840,23365,4.83
22,Khulna,1223,1216,3189,12687,202,1003,0,0,4614,14906,3.23
23,Kushtia,0,0,2509,9734,1824,8294,0,0,4333,18028,4.16
24,Magura,35,50,1879,7467,398,3104,0,0,2312,10621,4.59
25,Meherpur,0,0,1325,5195,210,1677,0,0,1535,6872,4.48
26,Narail,71,102,643,2272,360,1880,0,0,1074,4254,3.96
27,Satkhira,7520,7566,4798,15964,522,3404,272,6902,13112,33836,2.58
,Khulna Div.,11181,12275,29434,103500,12157,87930,3158,50712,55930,254417,4.55
28,Barguna,497,678,1836,6153,23,136,0,0,2356,6967,2.96
29,Barishal,0,0,9326,36199,138,737,0,0,9464,36936,3.90
30,Bhola,245,355,1940,7402,5522,31980,33,415,7740,40152,5.19
31,Jhalokathi,0,0,1102,4485,17,160,4,65,1123,4710,4.19
32,Patuakhali,1426,1636,6850,15973,173,971,0,0,8449,18580,2.20
33,Pirojpur,701,1011,1764,4445,354,1754,0,0,2819,7210,2.56
,Barishal Div.,2869,3680,22818,74657,6227,35738,37,480,31951,114555,3.59
