Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,24,0,0,264,0,0,1596,1725,1883,1860,1725,1883
2,Barishal,0,0,0,0,0,0,7332,7554,13689,7332,7554,13689
3,Bhola,0,0,0,0,0,0,5409,8719,7611,5409,8719,7611
4,Jhallokati,0,0,0,0,0,0,2179,2052,2321,2179,2052,2360
5,Patuakhali,0,0,0,0,0,0,5790,6363,6322,5790,6363,6322
6,Pirojpur,0,0,0,0,0,0,3656,4285,6465,3656,4285,6465
1,Barishal,24,0,0,264,0,0,25962,30698,38291,26226,30698,38330
7,Bandarban,484,476,476,1632,1477,1478,1953,2190,2190,3585,3667,3668
8,Brahmanbaria,31,31,33,403,0,0,14860,18938,8349,15263,18938,8349
9,Chandpur,0,0,0,0,0,0,27484,9490,9791,27484,9490,9797
10,Chattogram,1798,1083,627,9148,8407,22395,40753,37646,24342,49901,46053,46737
11,Cumilla,34,34,0,162,158,142,14681,17183,16862,14843,17341,17004
12,Cox's Bazar,122,122,188,1588,1759,1346,6732,6714,4498,8320,8473,5844
13,Feni,0,0,0,0,0,0,2705,2835,2436,2705,2835,2436
14,Khagrachhari,3640,3777,3420,31069,27280,27003,17288,15270,15367,48357,42550,42370
15,Laksmipur,0,0,0,0,0,0,2243,2295,2368,2243,2295,2368
16,Noakhali,0,0,0,0,0,0,1144,1843,1857,1144,1843,1858
17,Rangamati,1913,2036,2043,0,26026,16430,0,17811,11330,0,43837,27761
2,Chattogram,8022,7559,6787,44002,65107,68794,129843,132215,99390,"17384
5",197322,168192
18,Dhaka,91,93,92,840,815,917,2286,2606,2668,3126,3421,3585
19,Faridpur,136,126,126,1560,155,1517,12143,13191,11320,13703,13346,12837
20,Gazipur,3745,3044,3032,21866,7194,13212,52516,27563,60385,74382,34757,73597
21,Gopalganj,38,39,7,342,313,112,2079,2018,2308,2421,2331,2420
22,Kishorganj,77,77,78,1387,1742,1253,15249,16026,23131,16636,17768,24384
23,Madaripur,0,0,0,0,0,0,2367,2510,2533,2367,2510,2533
24,Manikganj,0,0,0,0,0,0,5390,5278,5378,5390,5278,5378
25,Munshiganj,0,0,0,0,0,0,473,718,722,473,718,722
26,Narayanganj,1,0,0,4,5,5,2049,1748,2047,2053,1753,2052
27,Narsingdi,1091,1544,1670,12188,13706,14102,15250,16408,21199,27438,30114,35301
28,Rajbari,153,1282,249,2136,1779,3080,3525,4690,7790,5661,6469,10870
29,Shariatpur,0,0,0,0,0,0,862,898,794,862,898,794
30,Tangail,1316,1308,1306,16925,14376,14746,47991,49090,52124,64916,63466,66870
3,Dhaka,6648,7513,6560,57248,40085,48944,162180,142744,192399,"21942
8",182829,241343
31,Bagerhat,29,10,11,41,62,62,1744,1831,1965,1785,1893,2027
32,Chuadanga,652,402,273,6255,2473,2512,3912,2861,2950,10167,5334,5462
33,Jashore,975,452,472,5622,514,5616,5897,10075,5679,11519,10589,11295
34,Jhenaidah,0,413,415,6954,5030,5755,6580,8363,7514,13534,13393,13269
35,Khulna,35,35,195,168,318,199,3826,3787,4305,3994,4105,4504
36,Kushtia,1335,1299,1362,32981,24453,24421,51190,57602,63184,84171,82055,87605
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,496,523,270,3522,3643,3148,4152,4038,6197,7674,7681,9345
38,Meherpur,1061,107,1076,4593,4759,4736,4801,4561,4793,9394,9320,9529
39,Narail,145,145,187,2477,2658,2785,4477,6662,4902,6954,9320,7687
40,Satkhira,396,470,468,2208,2546,2390,3109,2587,2886,5317,5133,5276
4,Khulna,5124,3856,4729,64821,46456,51624,89688,102367,104375,"15450
9",148823,155999
41,Jamalpur,42,41,42,800,3992,622,20346,16358,20780,21146,20350,21402
42,Mymensing,618,419,526,10552,39903,8453,80191,52877,82754,90743,92780,91207
43,Netrakona,0,0,0,0,0,0,18046,16164,16419,18046,16164,16419
44,Sherpur,68,68,68,589,4317,768,10294,6789,10682,10883,11106,11450
5,Mymensing,728,528,636,11941,48212,9843,128877,92188,130635,140818,140400,140478
45,Bogura,64,45,45,2168,2111,2046,17309,17731,15755,19477,19842,17801
46,Joypurhat,22,8,22,214,259,265,1964,1838,1851,2178,2097,2116
47,Naogaon,88,91,81,1113,1839,2071,7334,31585,7834,8447,33424,9905
48,Natore,204,232,224,4948,4380,6628,24860,29044,26266,29808,33424,32894
49,Chapai Nawabganj,129,137,146,606,634,685,1944,1921,2023,2550,2555,2708
50,Pabna,442,492,495,6071,8070,8572,22729,18834,19875,28800,26904,28447
51,Rajshahi,600,596,593,1800,1547,1906,8745,9353,9054,10545,10900,10960
52,Sirajganj,122,10329,26,1694,1034,332,24141,23711,27990,25835,24745,28322
6,Rajshahi,1671,11930,1632,18614,19874,22505,109026,134017,110648,"12764
0",153891,133153
53,Dinajpur,690,696,699,9971,10031,10412,2469,24783,25869,12440,34814,36281
54,Gaibandha,0,0,0,0,0,0,11860,12169,11905,11860,12169,11905
55,Kurigram,84,86,0,798,1044,0,7502,8260,7822,8300,9304,7822
