Name of Distict/Division,July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,274,215,250,195,250,215,223,195
Jhenaidah,271,233,247,210,269,231,240,215
Magura,325,0,310,0,330,280,300,255
Narial,258,210,235,0,298,202,264,0
Khulna,328,225,309,0,335,0,305,0
Bagerhat,335,220,305,0,341,225,320,0
Satkhira,257,210,0,0,298,202,264,0
Kushita,280,0,270,0,301,0,290,0
Chuadang,213,0,200,170,215,0,205,170
Meherpur,216,190,198,170,237,200,220,0
Khulna Division,276,215,258,186,287,222,263,209
Rajshahi,254,224,237,215,278,220,260,204
Noagoan,289,237,275,226,280,227,270,205
Natore,304,223,293,211,315,242,302,220
Nawbganj,267,202,254,190,243,210,223,190
Bogura,307,234,280,210,292,233,280,200
Joypurhat,300,230,296,220,276,230,250,210
Pabna,361,291,336,270,364,288,344,265
Sirajganj,340,250,315,230,273,220,246,211
Rajshahi Division,303,237,286,222,290,234,272,213
Rangpur,280,210,265,190,265,205,250,200
Gaibanda,288,175,250,0,230,180,205,0
Kurigarm,242,200,228,185,242,200,230,190
Nilphamari,262,215,245,195,256,215,242,200
Lalmonirhat,261,205,243,192,240,210,210,205
Dinajpur,333,269,294,236,313,256,285,230
Thakurgaon,295,260,266,228,270,238,250,220
Panchagar,290,230,271,210,290,231,270,211
Rangpur Division,281,221,258,205,263,217,243,208
Bangladesh,328,256,307,238,325,252,304,237
