Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,6655,2693,31.11,2.870,7728,698,282,30.03,2.770,782
34,Jhenaidah,7450,3015,33.73,3.111,9380,6578,2662,33.63,3.102,8257
35,Khulna,930,376,25.98,2.396,902,522,211,25.96,2.395,506
36,Kustia,14706,5951,41.30,3.809,22671,21631,8754,41.50,3.828,33508
37,Magura,15259,6175,29.10,2.684,16575,10593,4287,29.69,2.739,11740
38,Meherpur,13864,5610,38.44,3.546,19893,16335,6610,39.20,3.616,23902
39,Narail,11192,4529,30.11,2.777,12579,4066,1645,30.01,2.768,4555
40,Satkhira,4252,1721,29.67,2.737,4709,2473,1001,29.50,2.721,2724
4,"Khulna
Division",79527,32183,33.87,3.125,"100556.7
3",64966,26291,36.38,3.355,88217
41,Jamalpur.,18888,7644,28.82,2.658,20319,13643,5521,29.47,2.718,15008
42,Mymensingh,3251,1316,26.68,2.461,3238,3136,1269,31.10,2.869,3641
43,Netrokona,1955,791,25.96,2.395,1894,3980,1611,25.54,2.356,3794
44,Sherpur,5521,2234,29.45,2.716,6069,1579,639,26.34,2.430,1552
5,"Mymensingh
Division",29615,11985,28.51,2.630,31520,22338,9040,28.78,2.654,23995
45,Bogura,5965,2414,27.30,2.518,6079,6615,2677,27.35,2.523,6753
46,Joypurhat,3046,1233,28.12,2.594,3197,2965,1200,27.61,2.547,3056
47,Naogaon,72819,29468,33.92,3.129,92199,69129,27975,34.04,3.140,87837
48,Natore,54054,21874,35.24,3.251,71104,46986,19014,33.86,3.123,59386
49,"Chapai
Nawabgonj",74451,30129,34.70,3.201,96433,61590,24924,36.61,3.377,84166
50,Pabna,81575,33012,34.20,3.155,104138,62778,25405,33.50,3.090,78502
51,Rajshahi,67568,27343,35.20,3.247,88779,54683,22129,35.28,3.254,72013
52,Sirajgonj,14838,6005,28.14,2.596,15586,14483,5861,29.05,2.680,15705
6,"Rajshahi
Division",374316,151477,34.18,3.152,477515,319229,129185,34.19,3.154,407417
53,Dinajpur,56390,22820,35.46,3.271,74639,23884,9665,31.35,2.892,27949
54,Gaibandha,8754,3543,26.68,2.461,8718,7319,2962,27.62,2.548,7546
55,Kurigram,29732,12032,35.06,3.234,38910,22066,8930,35.10,3.238,28911
56,Lalmonirhat,3978,1610,33.55,3.095,4982,3980,1611,29.90,2.758,4442
57,Nilphamari,15101,6111,33.16,3.059,18692,12204,4939,34.74,3.204,15826
58,Panchagar,65225,26395,36.68,3.383,89304,54489,22051,35.68,3.291,72571
59,Rangpur,8876,3592,33.67,3.106,11155,6684,2705,33.07,3.050,8251
60,Thakurgaon,166071,67205,36.59,3.375,226821,150831,61038,34.97,3.226,196885
7,"Rangpur
Division",354127,143307,35.80,3.302,473222,281457,113899,34.49,3.182,362380
61,Hobigonj,1299,526,21.48,1.981,1042,1341,543,21.46,1.979,1074
62,Maulovibazar,166,67,24.37,2.248,151,190,77,23.47,2.165,166
63,Sunamgonj,1400,567,29.78,2.747,1556,1385,560,28.70,2.647,1484
64,Sylhet,611,247,20.25,1.868,462,865,350,24.45,2.255,789
8,"Sylhet
Division",3476,1407,24.74,2.282,3211,3781,1530,24.90,2.297,3514
BANGLADESH,,1026343,415339,34.23,3.158,1311473,867884,351213,33.94,3.130,1099373
