Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,45370,18360,30.10,2.776,50976,50497,20435,28.07,2.590,52917
34,Jhenaidah,52468,21233,31.70,2.924,62084,74788,30265,27.77,2.562,77525
35,Khulna,869,352,24.70,2.278,801,988,400,27.97,2.580,1032
36,Kustia,35569,14394,28.50,2.629,37839,54226,21944,31.49,2.905,63746
37,Magura,8118,3285,25.70,2.371,7788,7537,3050,27.55,2.541,7750
38,Meherpur,22130,8956,34.90,3.219,28829,37561,15200,30.63,2.825,42944
39,Narail,3303,1337,24.00,2.214,2959,4717,1909,27.24,2.513,4797
40,Satkhira,15971,6463,27.10,2.500,16156,15691,6350,24.79,2.287,14522
4,"Khulna
Division",262329,106159,30.12,2.779,294975,353696,143133,29.60,2.730,390739
41,Jamalpur.,3575,1447,21.00,1.937,2802,2810,1137,24.50,2.259,2569
42,Mymensingh,51764,20948,26.80,2.472,51783,40998,16591,30.68,2.830,46957
43,Netrokona,305,123,22.60,2.085,257,1063,430,22.87,2.109,907
44,Sherpur,4460,1805,24.20,2.232,4029,5313,2150,28.40,2.620,5633
5,"Mymensingh
Division",60104,24323,26.24,2.420,58872,50183,20308,29.93,2.761,56066
45,Bogura,46649,18878,27.07,2.497,47137,47136,19075,30.57,2.820,53795
46,Joypurhat,144,58,25.00,2.306,134,620,251,30.67,2.829,710
47,Naogaon,127376,51546,29.39,2.711,139738,146264,59190,32.60,3.007,177988
48,Natore,10100,4087,25.80,2.380,9727,15679,6345,30.61,2.823,17915
49,"Chapai
Nawabgonj",97073,39283,28.10,2.592,101820,110285,44630,29.92,2.760,123179
50,Pabna,17485,7076,25.50,2.352,16643,22220,8992,34.15,3.150,28325
51,Rajshahi,94413,38207,29.20,2.693,102906,114978,46529,31.15,2.873,133701
52,Sirajgonj,7682,3109,26.79,2.471,7682,4510,1825,29.42,2.714,4953
6,"Rajshahi
Division",400922,162244,28.45,2.624,425787,461693,186837,31.37,2.893,540566
53,Dinajpur,12869,5208,24.10,2.223,11577,19047,7708,31.16,2.875,22157
54,Gaibandha,2594,1050,19.10,1.762,1849,3974,1608,28.26,2.606,4191
55,Kurigram,2750,1113,24.10,2.223,2474,2397,970,29.46,2.718,2636
56,Lalmonirhat,3110,1259,25.80,2.380,2995,12447,5037,32.36,2.985,15033
57,Nilphamari,288,117,17.00,1.568,183,1003,406,30.81,0.000,1154
58,Panchagar,220,89,29.60,2.730,243,494,200,28.95,2.670,534
59,Rangpur,33841,13695,28.45,2.624,35938,39723,16075,32.50,2.998,48194
60,Thakurgaon,23488,9505,27.39,2.526,24014,36622,14820,31.71,2.925,43345
7,"Rangpur
Division",79160,32034,26.83,2.475,79273,115707,46824,31.78,2.931,137244
61,Hobigonj,95852,38789,25.70,2.371,91952,110755,44820,28.95,2.670,119669
62,Maulovibazar,99543,40283,30.30,2.795,112585,112618,45574,28.22,2.603,118621
63,Sunamgonj,13115,5307,27.60,2.546,13512,28618,11581,29.23,2.696,31224
64,Sylhet,104412,42253,28.00,2.583,109128,143361,58015,28.75,2.652,153870
8,"Sylhet
Division",312922,126633,28.01,2.584,327177,395351,159990,28.69,2.646,423384
BANGLADESH,,1861285,753221,27.06,2.496,1880090,2260276,914684,29.47,2.719,2486751
