Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,860,348,34.42,3.175,1105,950,384,34.60,3.191,1227
2,Barishal,79997,32373,38.88,3.586,116099,75605,30596,38.90,3.588,109781
3,Bhola,108528,43919,38.34,3.536,155318,103542,41901,38.50,3.551,148801
4,Jhalakathi,20961,8482,41.88,3.863,32768,23917,9679,41.91,3.866,37416
5,Patuakhali,1883,762,31.56,2.911,2218,1661,672,32.37,2.986,2007
6,Pirojpur,27884,11284,38.65,3.565,40228,28375,11483,39.75,3.667,42102
1,"Barisal
Division",240113,97168,38.80,3.579,347736,234050,94715,39.07,3.604,341333
7,Bandarban,9191,3719,30.24,2.789,10375,9191,3719,31.90,2.942,10944
8,Brahmanbaria,243668,98607,42.20,3.893,383829,288921,116920,43.58,4.020,469995
9,Chandpur,136046,55055,38.58,3.559,195918,150535,60918,38.29,3.532,215154
10,Chattogram,132316,53545,30.62,2.824,151232,127058,51418,33.53,3.093,159024
11,Cumilla,339415,137354,39.13,3.609,495756,333225,134849,40.04,3.693,498034
12,Cox' Bazar,113774,46042,41.35,3.814,175609,111206,45003,41.20,3.800,171022
13,Feni,67655,27378,39.05,3.602,98616,80470,32564,39.10,3.607,117446
14,Khagrachari,18311,7410,33.30,3.072,22761,17190,6956,35.17,3.244,22567
15,Laksmipur,45303,18333,38.90,3.588,65782,45720,18502,39.50,3.643,67411
16,Noakhali,48879,19780,41.68,3.845,76046,49138,19885,41.69,3.845,76467
17,Rangamati,11018,4459,40.34,3.721,16591,9391,3800,40.90,3.773,14337
2,"Chattogram
Division",1165576,471683,38.90,3.588,1692515,1222045,494535,39.95,3.685,1822403
18,Dhaka,117559,47574,49.30,4.547,216337,114934,46511,47.69,4.399,204599
19,Faridpur,55142,22315,46.78,4.315,96288,63408,25660,46.90,4.326,111005
20,Gazipur,119868,48508,40.86,3.769,182822,113821,46061,40.89,3.772,173727
21,Gopalgonj,91101,36867,47.68,4.398,162139,77848,31503,47.67,4.397,138522
22,Kishoregonj,253509,102590,46.57,4.296,440684,342151,138461,46.80,4.317,597711
23,Madaripur,73159,29606,48.52,4.475,132500,77652,31424,46.84,4.321,135768
24,Manikgonj,122301,49493,49.83,4.596,227483,113821,46061,48.29,4.454,205167
25,Munsigonj,58660,23738,45.80,4.225,100285,65087,26339,44.74,4.127,108697
26,Narayanganj,59247,23976,43.00,3.966,95096,60584,24517,43.10,3.976,97468
27,Narsingdi,124357,50325,40.43,3.729,187673,122454,49554,40.25,3.713,183978
28,Rajbari,35034,14177,47.10,4.344,61594,30553,12364,44.51,4.106,50762
29,Shariatpur,60888,24640,46.67,4.305,106071,46529,18829,46.70,4.308,81109
30,Tangail,408460,165295,45.28,4.177,690372,468560,189616,47.56,4.387,831830
3,"Dhaka
Division",1579285,639102,45.79,4.224,2699342,1697402,686901,46.09,4.251,2920342
31,Bagerhat,52828,21378,37.43,3.453,73809,40701,16471,37.51,3.460,56987
32,Chuadanga,79825,32303,41.34,3.813,123179,76406,30920,39.05,3.602,111372
