Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,64710,26187,26.90,2.481,64976,90072,36450,30.22,2.787,101594
2,Barishal,110602,44758,28.31,2.611,116877,114239,46230,29.70,2.740,126653
3,Bhola,257303,104125,29.95,2.763,287653,308640,124900,30.35,2.799,349600
4,Jhalakathi,21549,8720,27.90,2.573,22442,21499,8700,30.03,2.770,24100
5,Patuakhali,114809,46461,27.60,2.546,118280,248963,100750,29.33,2.705,272565
6,Pirojpur,14549,5888,25.80,2.380,14011,23493,9507,29.99,2.767,26303
1,"Barishal
Division",583522,236139,28.66,2.644,624239,806906,326537,29.91,2.759,900815
7,Bandarban,23409,9473,27.66,2.551,24169,27577,11160,30.24,2.789,31125
8,Brahmanbaria,104225,42178,28.91,2.667,112473,103811,42010,29.98,2.765,116168
9,Chandpur,52120,21092,25.99,2.397,50564,52375,21195,28.37,2.616,55455
10,Chattogram,353825,143185,32.31,2.980,426730,358767,145185,30.22,2.787,404635
11,Cumilla,241282,97642,26.74,2.466,240832,244231,98835,30.18,2.784,275112
12,Cox' Bazar,176786,71541,28.64,2.642,188994,181342,73385,30.68,2.830,207700
13,Feni,145973,59072,30.18,2.784,164444,143583,58105,30.41,2.805,162971
14,Khagrachari,61464,24873,31.40,2.896,72041,64305,26023,30.38,2.803,72933
15,Laksmipur,154893,62682,29.80,2.749,172296,167578,67815,30.05,2.772,187972
16,Noakhali,110678,44789,29.21,2.694,120676,230739,93375,28.44,2.623,244913
17,Rangamati,23742,9608,30.89,2.849,27376,22008,8906,30.15,2.781,24766
2,"Chattogram
Division",1448397,586135,29.61,2.731,1600593,1596316,645994,29.94,2.761,1783750
18,Dhaka,14867,6016,29.10,2.684,16149,20058,8117,30.12,2.778,22550
19,Faridpur,125728,50879,29.29,2.702,137461,153250,62017,30.30,2.795,173342
20,Gazipur,92396,37391,26.41,2.436,91085,94099,38080,30.12,2.778,105790
21,Gopalgonj,12732,5152,23.35,2.154,11097,17928,7255,30.24,2.790,20239
22,Kishoregonj,174407,70579,28.89,2.665,188078,176852,71568,30.81,2.842,203421
23,Madaripur,12073,4886,28.50,2.629,12844,14411,5832,30.35,2.800,16327
24,Manikgonj,10740,4346,26.95,2.486,10804,16420,6645,30.47,2.810,18674
25,Munsigonj,480,194,27.70,2.555,496,1260,510,29.65,2.735,1395
26,Narayanganj,5168,2091,24.99,2.305,4821,5696,2305,30.20,2.785,6420
27,Narsingdi,72626,29390,25.48,2.350,69075,77506,31365,29.74,2.743,86036
28,Rajbari,96641,39108,30.55,2.818,110205,105976,42886,30.69,2.831,121395
29,Shariatpur,5754,2329,23.45,2.163,5037,4787,1937,30.17,2.783,5391
30,Tangail,189323,76615,27.94,2.577,197450,169117,68438,30.35,2.799,191560
3,"Dhaka
Division",812935,328977,28.16,2.598,854601,857361,346955,30.39,2.803,972540
31,Bagerhat,65798,26627,28.99,2.674,71201,73503,29745,29.95,2.762,82160
32,Chuadanga,89774,36330,30.25,2.790,101369,83622,33840,30.79,2.840,96120
