ila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,32,82,38,86,118,218
38,Meherpur,9043,35024,18726,82783,21034,100678
39,Narail,0,0,0,0,0,0
40,Satkhira,354,997,189,560,157,5290
4,Khulna,164356,602042,190005,719184,185969,740992
41,Jamalpur,17439,66007,18304,74947,20742,82570
42,Mymensing,525,1270,889,2701,288,753
43,Netrakona,51,111,0,0,0,0
44,Sherpur,1488,3332,1013,2122,1548,3477
5,Mymensing,19503,70720,20206,79770,22578,86800
45,Bogura,16534,40845,15102,37598,12219,34232
46,Joypurhat,479,1426,668,1976,670,1978
47,Naogaon,3492,11296,15287,56386,15343,59163
48,Natore,3145,4980,3431,6598,11775,39645
49,Chapai Nawabganj,12775,34233,12437,38742,12636,36172
50,Pabna,1344,4183,1663,3328,1717,4607
51,Rajshahi,12199,33814,12960,36509,12452,36166
52,Sirajganj,18840,50397,23165,77716,23062,78272
6,Rajshahi,68808,181174,84713,258853,89874,290235
53,Dinajpur,148208,467978,150431,485048,139268,461671
54,Gaibandha,24314,69009,26782,83784,27282,87201
55,Kurigram,5233,16359,16996,47209,18308,55166
56,Lalmonirhat,53140,165531,56120,166182,64533,213478
57,Nilphamari,34667,104147,40227,138070,46731,162890
58,Panchagarh,28963,86880,43785,173526,45699,175247
59,Rangpur,33947,92004,36701,110896,40981,227233
60,Thakurgaon,44080,121220,51216,174198,45071,148597
7,Rangpur,372552,1123128,422258,1378913,427873,1531483
61,Habiganj,0,0,15,27,16,28
62,Maulvibazar,0,0,8,16,9,17
63,Sunamganj,39,101,0,0,0,0
64,Sylhet,0,0,29,47,29,28
8,Sylhet,39,101,52,90,54,73
,BANGLADESH,698728,2161348,816986,2686832,832139,2894164
