Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,126,83,101,834,648,652,2639,2367,2230,3473,3015,2882
38,Meherpur,10,10,71,33,27,0,578,620,711,611,647,711
39,Narail,31,31,30,380,395,394,6512,6773,6408,6892,7168,6802
40,Satkhira,299,168,182,959,624,747,4243,4204,4132,5202,4828,4879
4,Khulna,2818,7037,4719,14220,13210,14226,73229,72087,61980,87449,85297,76206
41,Jamalpur,0,0,0,0,0,0,3707,3782,5363,3707,3782,5363
42,Mymensing,93,56,57,341,367,358,16310,17989,18438,16651,18356,18796
43,Netrakona,0,0,0,0,0,0,5614,5746,0,5614,5746,0
44,Sherpur,0,0,0,0,0,0,995,1015,0,995,1015,0
5,Mymensing,93,56,57,341,367,358,26626,28532,23801,26967,28899,24159
45,Bogura,4,4,4,103,100,109,8436,8847,9347,8539,8947,9456
46,Joypurhat,17,18,17,125,124,131,549,540,562,674,664,693
47,Naogaon,5,5,68,20,23,0,1157,877,988,1177,900,988
48,Natore,0,0,0,0,0,0,9714,10248,10584,9714,10248,10584
49,"Chapai
Nawabganj",7,7,88,30,30,27,323,325,392,353,355,419
50,Pabna,53,54,0,275,313,303,6613,7443,7107,6888,7756,7410
51,Rajshahi,154,147,80,793,783,593,7296,7548,6766,8089,8331,7359
52,Sirajganj,0,0,0,0,0,0,3031,3967,3123,3031,3967,3123
6,Rajshahi,240,235,257,1346,1373,1163,37119,39795,38869,38465,41168,40032
53,Dinajpur,0,0,103,0,0,0,3224,3359,2982,3224,3359,2982
54,Gaibandha,0,0,393,0,0,0,1577,1750,1721,1577,1750,1721
55,Kurigram,0,0,54,0,0,0,670,687,733,670,687,733
56,Lalmonirhat,0,0,25,0,0,0,1003,1003,808,1003,1003,808
57,Nilphamari,0,0,68,0,0,1,2802,2083,2144,2802,2083,2145
58,Panchagarh,0,0,86,0,0,95,1646,1657,1555,1646,1657,1650
59,Rangpur,0,0,63,0,0,57,1633,1738,1606,1633,1738,1663
60,Thakurgaon,1,0,374,0,0,0,704,685,745,704,685,745
7,Rangpur,1,0,1166,0,0,153,13259,12962,12294,13259,12962,12447
61,Habiganj,0,0,0,0,0,0,3214,3689,3923,3214,3689,3923
62,Maulvibazar,225,171,150,793,0,428,3139,4118,3106,3932,4118,3534
63,Sunamganj,4,0,0,22,0,0,2855,2845,2848,2877,2845,2848
64,Sylhet,34,38,28,97,0,71,1751,1955,1659,1848,1955,1730
8,Sylhet,263,209,178,912,0,499,10959,12607,11536,11871,12607,12035
BANGLADESH,,5878,9602,10365,31238,30556,36612,343031,378079,430363,374269,408635,466975
