District name,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,410,0,360,0,0,0,420,0
Jhalokathi,390,0,0,0,0,0,400,0
Perojpur,390,340,0,0,0,0,400,350
Bhola,380,0,0,0,0,0,390,0
Patuakhali,390,0,0,0,0,0,400,0
Barguna,380,0,0,0,0,0,390,0
Barisal Division,390,340,360,0,0,0,400,350
Jessore,0,0,0,0,0,0,282,163
Jhenaidah,319,251,304,229,301,234,354,248
Magura,379,0,368,0,336,0,435,0
Narail,399,0,325,0,304,0,402,333
Khulna,0,0,0,0,0,0,408,387
Bagerhat,359,280,350,250,300,250,384,324
Satkhira,0,0,0,0,0,0,300,265
Kushtia,335,0,312,0,272,0,373,0
Chuadanga,225,0,0,0,0,0,268,0
Meherpur,247,0,0,0,0,0,270,0
Khulna Division,323,265,332,240,303,242,348,287
Rajshahi,320,260,315,245,0,0,343,268
Naogaon,320,263,308,261,306,219,335,274
Natore,333,227,0,0,0,0,359,262
Chapai Nawabganj,366,300,350,280,320,250,371,327
Bogra,0,0,0,0,343,0,380,290
Joypurhat,350,250,0,0,323,220,378,275
Pabna,367,244,338,215,312,0,378,244
Sirajganj,0,0,343,0,0,0,364,250
Rajshahi Division,343,257,331,250,321,230,364,274
Rangpur,344,222,0,0,0,0,350,250
Gaibandha,0,0,0,0,0,0,265,194
Kurigram,325,225,0,0,0,0,343,280
Nilphamari,325,238,0,0,0,0,345,241
Lalmonirhat,314,354,0,0,0,0,338,298
Dinajpur,325,238,0,0,0,0,335,241
Thakurgaon,313,283,0,0,0,0,318,290
Panchagar,334,244,0,0,0,0,343,252
Rangpur Division,326,258,0,0,0,0,330,256
BANGLADESH,361,287,356,229,341,246,392,310
