Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,484,427,431,775,511,921,2825,3182,3159,3600,3693,4080
2,Barishal,0.8,0,0,0,0,0,4650,4453,7897,4650,4453,7897
3,Bhola,0,0,0,0,0,0,1799,1510,1659,1799,1510,1659
4,Jhallokati,0,0,0,0,0,0,944,985,834,944,985,834
5,Patuakhali,0,0,0,0,0,0,785,3611,3964,785,3611,3964
6,Pirojpur,32,28,52,131,153,309,2244,3732,4406,2375,3885,4715
1,Barishal,516.8,455,483,906,664,1230,13247,17473,21919,14153,18137,23149
7,Bandarban,400,400,355,1547,1547,1559,2206,2206,2144,3753,3753,3703
8,Brahmanbaria,0,0,0,0,0,0,7480,9097,9588,7480,9097,9588
9,Chandpur,0,0,0,0,0,0,6674,74,7848,6674,74,7848
10,Chattogram,64,6418,64,1042,103,106,12499,13682,13755,13541,13785,13861
11,Cumilla,0,52,45,448,934,738,23681,25905,2475,24129,26839,3213
12,Cox's Bazar,0,223,221,815,846,855,4739,5266,5165,5554,6112,6020
13,Feni,10,10,10,59,55,62,3188,4248,3195,3247,4303,3257
14,Khagrachhari,1944,2161,2305,3575,3889,3490,2176,2315,2262,5751,6204,5752
15,Laksmipur,0,27,0,30,30,0,1611,1626,2020,1641,1656,2020
16,Noakhali,0,0,0,0,0,0,3411,3319,6646,3411,3319,6646
17,Rangamati,3371,444,674,3635,2939,1411,2296,2706,3957,5931,5645,5368
2,Chattogram,5789,9735,3674,11151,10343,8221,69961,70444,59055,81112,80787,67276
18,Dhaka,122,122,120,403,537,529,2752,3346,3550,3155,3883,4079
19,Faridpur,160,160,160,2097,2150,2118,5593,5706,5467,7690,7856,7585
20,Gazipur,327,331,329,991,1085,1038,7904,8612,3613,8895,9697,4651
21,Gopalganj,50,437,254,1346,1313,1000,3222,3202,4537,4568,4515,5537
22,Kishorganj,4,4,16,30,37,162,7963,8485,9404,7993,8522,9566
23,Madaripur,150,1,1,6,5,6,5362,5277,5243,5368,5282,5249
24,Manikganj,157,157,157,877,909,910,3838,4018,4166,4715,4927,5076
25,Munshiganj,0,31,0,0,0,0,2987,2997,3066,2987,2997,3066
26,Narayanganj,31,0,32,125,123,107,1994,2430,2159,2119,2553,2266
27,Narsingdi,226,223,234,545,585,564,4325,3650,4797,4870,4235,5361
28,Rajbari,447,461,575,2871,2987,4230,14859,14843,22412,17730,17830,26642
29,Shariatpur,25,58,80,87,166,300,6387,8558,5579,6474,8724,5879
30,Tangail,883,886,888,2203,1943,1948,10647,11440,11659,12850,13383,13607
3,Dhaka,2582,2871,2846,11581,11840,12912,77833,82564,85652,89414,94404,98564
31,Bagerhat,51,48,46,87,67,73,1187,1410,1562,1274,1477,1635
32,Chuadanga,1200,469,276,4248,4631,4788,1598,1857,1968,5846,6488,6756
33,Jashore,1017,1139,983,5563,4958,5193,6179,5749,6394,11742,10707,11587
34,Jhenaidah,440,509,534,7278,7041,7177,6160,10646,11008,13438,17687,18185
35,Khulna,428,2441,390,893,937,961,5883,5863,6228,6776,6800,7189
36,Kushtia,1743,135,10,11235,11348,11804,32694,33700,34804,43929,45048,46608
