Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,7762,3141,253.10,23.346,73332,8701,3521,257.45,23.747,83615
34,Jhenaidah,4162,1684,224.65,20.722,34901,3899,1578,224.85,20.740,32725
35,Khulna,1563,633,155.18,14.314,9054,1169,473,165.69,15.283,7230
36,Kustia,5504,2227,236.52,21.817,48593,6007,2431,236.13,21.781,52946
37,Magura,85,34,163.09,15.043,517,72,29,168.14,15.509,452
38,Meherpur,3480,1408,251.63,23.210,32687,3203,1296,247.04,22.787,29536
39,Narail,63,25,144.80,13.356,341,79,32,158.38,14.609,467
40,Satkhira,8238,3334,187.35,17.281,57611,7537,3050,186.15,17.170,52370
4,"Khulna
Division",36759,14876,222.81,20.552,305726,36665,14838,223.32,20.599,305638
41,Jamalpur.,12487,5053,190.75,17.594,88908,12138,4912,196.91,18.163,89217
42,Mymensingh,10044,4065,109.00,10.054,40865,9746,3944,108.31,9.990,39402
43,Netrokona,4359,1764,90.81,8.376,14775,4618,1869,103.64,9.559,17865
44,Sherpur,13205,5344,198.03,18.266,97609,11093,4489,185.30,17.092,76728
5,"Mymensingh
Division",40095,16226,161.80,14.924,242156,37595,15214,159.06,14.672,223211
45,Bogura,159657,64610,204.59,18.871,1219265,147333,59622,206.37,19.035,1134920
46,Joypurhat,86683,35079,209.47,19.321,677761,94565,38268,212.09,19.563,748632
47,Naogaon,63799,25818,180.65,16.663,430207,55697,22539,179.63,16.569,373450
48,Natore,1472,596,176.68,16.297,9708,146,59,176.83,16.310,964
49,"Chapai
Nawabgonj",3786,1532,203.34,18.756,28736,3646,1475,202.40,18.669,27546
50,Pabna,2303,932,136.60,12.600,11743,2098,849,138.43,12.768,10841
51,Rajshahi,105514,42699,270.58,24.958,1065688,98720,39950,277.31,25.579,1021886
52,Sirajgonj,7810,3161,142.74,13.167,41614,6978,2824,152.56,14.072,39738
6,"Rajshahi
Division",431024,174426,216.59,19.978,3484722,409183,165587,219.85,20.279,3357975
53,Dinajpur,120740,48861,216.13,19.936,974066,121445,49146,216.09,19.932,979600
54,Gaibandha,21938,8878,171.66,15.834,140572,16992,6876,179.93,16.597,114125
55,Kurigram,17447,7060,217.65,20.076,141745,16295,6594,227.49,20.984,138370
56,Lalmonirhat,13080,5293,198.66,18.324,96992,11688,4730,209.00,19.278,91184
57,Nilphamari,58575,23704,209.11,19.288,457207,56425,22834,205.86,18.988,433573
58,Panchagar,25510,10323,214.87,19.819,204601,24998,10116,214.75,19.809,200389
59,Rangpur,135599,54874,223.88,20.651,1133178,126439,51167,218.18,20.125,1029722
60,Thakurgaon,57628,23321,199.19,18.373,428479,58834,23809,203.05,18.729,445918
7,"Rangpur
Division",450517,182314,212.70,19.619,3576840,433116,175273,212.34,19.586,3432881
61,Hobigonj,4841,1959,120.30,11.096,21739,4649,1881,129.29,11.926,22437
62,Maulovibazar,5033,2037,124.70,11.502,23426,4953,2004,128.90,11.890,23831
63,Sunamgonj,3846,1556,123.61,11.401,17745,4110,1663,124.55,11.489,19109
64,Sylhet,3252,1316,111.74,10.307,13564,3252,1316,119.56,11.028,14514
8,"Sylhet
Division",16972,6868,120.71,11.135,76474,16964,6865,126.17,11.637,79890
BANGLADESH,,1234871,499725,221.63,20.443,10215957,1179703,477400,221.29,20.411,9744412
