Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,0,0,0,0,59,141,161,59,141,161
2,Barishal,0,0,0,0,0,0,1265,1131,1493,1265,1131,1493
3,Bhola,0,0,0,0,0,0,512,506,402,512,506,402
4,Jhallokati,0,0,0,0,0,0,1235,1259,815,1235,1259,815
5,Patuakhali,0,0,0,0,0,0,200,222,223,200,222,223
6,Pirojpur,0,0,0,0,0,0,603,822,901,603,822,901
1,Barishal,0,0,0,0,0,0,3874,4081,4001,3874,4081,3995
7,Bandarban,246,250,250,447,525,545,243,314,298,690,839,843
8,Brahmanbaria,0,0,12,0,0,467,2037,2070,1038,2037,2070,1505
9,Chandpur,0,0,0,0,0,0,835,207,431,835,207,431
10,Chattogram,41,40,31,345,319,354,3112,3266,3229,3457,3585,3583
11,Cumilla,0,0,0,0,0,0,1881,2123,1881,1881,2123,1881
12,Cox's Bazar,5,5,32,37,66,139,604,636,566,641,702,705
13,Feni,0,0,0,0,0,0,147,160,162,147,160,162
14,Khagrachhari,101,121,123,277,275,253,614,629,598,891,904,851
15,Laksmipur,9,0,0,29,0,0,218,249,0,247,249,0
16,Noakhali,0,0,0,0,0,0,263,376,341,263,376,341
17,Rangamati,49,32,52,226,221,206,1392,1337,1298,1618,1558,1504
2,Chattogram,451,448,500,1361,1406,1964,11346,11367,9842,12707,12773,11806
18,Dhaka,0,0,0,0,0,0,958,931,920,958,931,920
19,Faridpur,1,0,0,0,0,0,769,764,735,769,764,735
20,Gazipur,76,79,78,323,250,254,558,297,614,881,547,868
21,Gopalganj,5,5,0,23,24,0,501,535,627,524,559,627
22,Kishorganj,4,1,4,128,132,145,1101,1164,1288,1229,1296,1433
23,Madaripur,0,0,0,4,0,0,435,454,766,439,454,766
24,Manikganj,0,0,0,0,0,0,675,703,720,675,703,720
25,Munshiganj,0,0,0,0,0,0,95,148,153,95,148,153
26,Narayanganj,0,0,0,0,0,0,130,169,139,130,169,139
27,Narsingdi,2,2,3,11,11,17,859,926,829,870,937,846
28,Rajbari,0,0,0,0,0,0,1135,1100,1519,1135,1100,1519
29,Shariatpur,0,0,0,0,0,0,493,491,535,493,491,535
30,Tangail,0,0,0,2,0,0,1729,1820,1789,1731,1820,1789
3,Dhaka,88,87,85,491,417,416,9438,9502,10634,9929,9919,11050
31,Bagerhat,0,0,0,0,0,0,645,768,672,645,768,672
32,Chuadanga,0,0,0,0,0,0,306,275,294,306,275,294
33,Jashore,0,6,227,130,108,97,2424,2404,2180,2554,2512,2277
34,Jhenaidah,6,0,0,0,0,0,1278,1346,1395,1278,1346,1395
35,Khulna,0,0,0,0,0,0,1156,1186,1081,1156,1186,1081
36,Kushtia,30,30,30,295,296,273,1329,1411,1202,1624,1707,1475
