Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,2,0,0,0,0,0,1,0,0,1,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal,0,2,0,0,0,0,0,1,0,0,1,0
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0,6,4,0,6,4,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,72,74,74,93,184,184,134,81,76,227,265,260
11,Cumilla,1,1,0,1,2,2,1,1,1,2,3,3
12,Cox's Bazar,86,87,87,66,111,111,51,55,55,117,166,166
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,3,8,8,4,5,6,4,3,2,8,8,8
2,Chattogram,162,170,169,164,302,303,196,144,134,360,446,437
18,Dhaka,9,9,8,15,24,87,2,1,75,17,25,162
19,Faridpur,2,2,2,3,3,3,6,5,4,9,8,7
20,Gazipur,0,14,14,0,15,74,0,0,59,0,15,133
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishorganj,0,12,0,2,2,2,7,8,8,9,10,10
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,10,10,10,4,4,40,0,0,36,4,4,76
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,63,63,4,2,2,2,1,0,1,3,2,3
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,1,0,0,1,0,0,1,0,0,2,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,2,2,2,1,1,1,2,0,0,3,1,1
3,Dhaka,87,112,40,28,51,209,19,14,183,47,65,392
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,8,8,14,2,16,16,7,8,8,9,24,24
33,Jashore,116,202,201,2316,18273,0,32,594,15064,2348,18867,15064
34,Jhenaidah,0,12,6,0,34,13,0,5,9,0,39,22
35,Khulna,0,3,0,0,1,0,0,2,0,0,3,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
