Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,85,84,265,234,302,474,239,238,134,473,540,608
38,Meherpur,0,0,28,0,0,0,66,66,40,66,66,40
39,Narail,151,153,388,1670,1890,1951,2151,2331,2553,3821,4221,4504
40,Satkhira,225,341,300,513,544,540,380,369,537,893,913,1077
4,Khulna,4626,4772,6887,8836,8768,8973,7208,6332,7590,16044,15100,16563
41,Jamalpur,125,174,727,292,294,453,1426,1421,1435,1718,1715,1888
42,Mymensing,325,356,1149,1009,825,62,3979,3027,3837,4988,3852,3899
43,Netrakona,37,38,419,172,171,172,1051,1037,966,1223,1208,1138
44,Sherpur,42,42,538,156,180,225,1432,1649,1681,1588,1829,1906
5,Mymensing,529,610,2833,1629,1470,912,7888,7134,7919,9517,8604,8831
45,Bogura,15,15,145,31,38,44,584,823,829,615,861,873
46,Joypurhat,11,9,14,18,19,22,44,45,52,62,64,74
47,Naogaon,1,1,28,14,14,14,211,215,3288,225,229,3302
48,Natore,114,127,380,1345,1357,967,2560,2823,2335,3905,4180,3302
49,Chapai Nawabganj,0,0,3,0,0,0,7,7,7,7,7,7
50,Pabna,19,21,193,172,202,193,751,844,892,923,1046,1085
51,Rajshahi,32,33,89,195,195,243,218,261,280,413,456,523
52,Sirajganj,1,1,84,12,12,0,580,595,652,592,607,652
6,Rajshahi,193,207,937,1787,1837,1483,4955,5613,8335,6742,7450,9818
53,Dinajpur,59,60,133,205,238,238,575,679,618,780,917,856
54,Gaibandha,177,183,713,968,760,778,2913,2955,3017,3881,3715,3795
55,Kurigram,1145,1050,1082,2518,4215,3378,1671,2105,2114,4189,6320,5492
56,Lalmonirhat,558,522,479,2851,1629,1992,1452,769,639,4303,2398,2631
57,Nilphamari,246,244,492,2091,1951,2291,759,1020,1017,2850,2971,3308
58,Panchagarh,156,157,594,1066,1066,1065,2356,2490,2442,3422,3556,3507
59,Rangpur,347,322,433,773,753,758,825,889,1084,1598,1642,1842
60,Thakurgaon,9,9,24,26,22,23,105,74,86,131,96,109
7,Rangpur,2697,2547,3948,10498,10634,10523,10656,10981,11017,21154,21615,21540
61,Habiganj,106,105,204,314,278,364,513,509,634,827,787,998
62,Maulvibazar,620,236,405,9,185,193,858,724,776,867,909,969
63,Sunamganj,56,44,273,82,99,132,355,537,709,437,636,841
64,Sylhet,1160,1069,1793,3967,4554,3894,2479,2757,3138,6446,7311,7032
8,Sylhet,1942,1454,2675,4372,5116,4583,4205,4527,5257,8577,9643,9840
,BANGLADESH,30416,42068,76531,129221,137916,137062,147442,108947,78721,276663,246863,215783
