Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,81,0,0,0,82,76,58,82,76,7
2,Barishal,0,0,179,0,0,0,367,293,41,367,293,58
3,Bhola,0,0,46,0,0,0,0,0,7,0,0,41
4,Jhallokati,0,0,87,2,0,0,45,67,35,47,67,7
5,Patuakhali,0,0,87,0,0,0,43,42,3,43,42,35
6,Pirojpur,0,0,159,0,20,0,373,461,151,373,481,3
1,Barishal,0,0,639,2,20,0,910,939,9,912,959,151
7,Bandarban,6,5,25,0,0,2,11,11,299,11,11,11
8,Brahmanbaria,0,0,181,0,0,0,323,236,25,323,236,299
9,Chandpur,0,0,38,0,0,0,21,64,275,21,64,25
10,Chattogram,0,0,221,0,0,0,286,274,110,286,274,275
11,Cumilla,0,0,179,0,0,0,78,101,44,78,101,110
12,Cox's Bazar,0,0,25,0,0,0,37,44,10,37,44,44
13,Feni,0,0,21,0,0,0,9,9,76,9,9,10
14,Khagrachhari,0,0,62,17,15,8,126,132,29,143,147,84
15,Laksmipur,0,0,48,0,0,0,30,31,154,30,31,29
16,Noakhali,0,0,35,0,0,0,11,20,107,11,20,154
17,Rangamati,2,0,134,2,1,1,108,109,1138,110,110,108
2,Chattogram,8,5,969,19,16,11,1040,1031,110,1059,1047,1149
18,Dhaka,0,0,159,0,0,0,355,346,533,355,346,110
19,Faridpur,7,0,343,24,2,2,558,537,39,582,539,535
20,Gazipur,0,0,21,0,0,1,151,155,459,151,155,40
21,Gopalganj,0,0,307,0,0,0,662,458,42,662,458,459
22,Kishorganj,0,0,74,0,0,0,74,81,645,74,81,42
23,Madaripur,0,0,160,0,0,0,688,641,81,688,641,645
24,Manikganj,0,0,43,0,0,0,154,153,137,154,153,81
25,Munshiganj,0,0,90,0,0,0,98,132,129,98,132,137
26,Narayanganj,0,0,55,0,0,0,86,129,195,86,129,129
27,Narsingdi,0,0,149,0,0,0,122,193,161,122,193,195
28,Rajbari,0,0,117,0,0,0,138,189,23,138,189,161
29,Shariatpur,0,0,80,0,0,26,20,234,400,20,234,49
30,Tangail,0,0,381,0,0,0,432,395,2954,432,395,400
3,Dhaka,7,0,1979,24,2,29,3538,3643,261,3562,3645,2983
31,Bagerhat,0,0,523,0,0,0,1774,1861,38,1774,1861,261
32,Chuadanga,0,0,27,0,0,0,31,35,1895,31,35,38
33,Jashore,0,0,678,0,0,0,1713,1925,35,1713,1925,1895
34,Jhenaidah,0,0,130,0,0,0,271,283,560,271,283,35
35,Khulna,0,32,349,0,85,87,666,554,203,666,639,647
36,Kushtia,0,0,161,0,0,0,211,225,,211,225,203
