Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,"Hectare
s","Acre
(Maun
d)","Hectare
(M. Ton)","Productio
n
(M. Ton)",Acres,"Hectare
s","Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,0,0,0.00,0.000,0,0,0,0,0,0
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0,0,0
35,Khulna,254,103,20.36,1.878,193,3,1,19.40,1.789,2
36,Kustia,0,0,0.00,0.000,0,0,0,0,0,0
37,Magura,0,0,0.00,0.000,0,0,0,0,0,0
38,Meherpur,0,0,0.00,0.000,0,0,0,0,0,0
39,Narail,164,66,26.93,2.484,165,154,62,26.95,2.486,155
40,Satkhira,0,0,,0.000,0,0,0,0.00,0.000,0
4,"Khulna
Division",4190,1696,19.64,1.812,3072,157,64,26.81,2.473,157
41,Jamalpur.,1496,605,21.08,1.944,1177,1582,640,16.59,1.530,980
42,Mymensingh,442,179,21.52,1.985,355,423,171,25.21,2.325,398
43,Netrokona,877,355,23.40,2.158,766,1261,510,24.90,2.297,1172
44,Sherpur,205,83,23.39,2.157,179,168,68,19.22,1.773,121
5,"Mymensingh
Division",3020,1222,0.00,0.000,2477,3434,1390,20.83,1.922,2670
45,Bogura,3655,1479,19.12,1.764,2609,3817,1545,19.13,1.765,2726
46,Joypurhat,0,0,0.00,0.000,0,0,0,0,0,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0,0,0
48,Natore,61,25,26.45,2.440,60,85,34,26.47,2.442,84
49,"Chapai
Nawabgonj",0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Pabna,1294,524,16.73,1.543,808,1105,447,17.39,1.604,717
51,Rajshahi,0,0,0.00,0.000,0,0,0,0,0,0
52,Sirajgonj,5595,2264,24.08,2.221,5029,6026,2439,25.56,2.358,5749
6,"Rajshahi
Division",10605,4292,21.49,1.982,8506,11033,4465,22.52,2.078,9276
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,1296,524,17.51,1.615,847,1404,568,17.59,1.622,922
55,Kurigram,2942,1191,21.99,2.028,2415,3263,1320,19.01,1.753,2315
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0,0,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0,0,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0,0,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0,0,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0,0,0
7,"Rangpur
Division",4238,1715,20.62,1.902,3262,4667,1889,18.58,1.714,3237
61,Hobigonj,107,43,22.03,2.032,88,204,83,21.98,2.027,167
62,Maulovibazar,2198,889,19.90,1.836,1633,2260,915,24.01,2.215,2025
63,Sunamgonj,4194,1697,20.92,1.930,3275,0,0,0.00,0.000,0
64,Sylhet,17124,6930,20.97,1.934,13404,16735,6772,21.10,1.946,13181
8,"Sylhet
Division",23623,9560,20.87,1.925,18400,19199,7769,21.45,1.979,15373
BANGLADESH,,84137,34048,20.99,1.937,65936,80262,32480,20.81,1.919,62343
