Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,596,0,0,0,291,393,393,291,393,393
2,Barishal,40,40,1457,8,705,705,5762,5323,5323,5770,6028,6028
3,Bhola,0,0,406,0,0,0,1250,1066,1066,1250,1066,1066
4,Jhallokati,20,20,2095,497,140,1230,2680,3096,3728,3177,3236,4958
5,Patuakhali,0,0,652,0,0,0,561,477,477,561,477,477
6,Pirojpur,24,138,767,231,1507,1507,3175,3029,3029,3406,4536,4536
1,Barishal,84,198,5972,736,2352,3442,13719,13384,14016,14455,15736,17458
7,Bandarban,19,19,125,20,36,36,150,176,141,170,212,177
8,Brahmanbaria,0,0,19,0,0,0,21,21,25,21,21,25
9,Chandpur,0,0,140,0,0,0,107,111,111,107,111,111
10,Chattogram,0,0,345,0,0,0,28,442,458,28,442,458
11,Cumilla,0,0,293,0,0,6,220,229,254,220,229,260
12,Cox's Bazar,0,0,232,0,0,0,503,519,462,503,519,462
13,Feni,0,0,44,0,0,0,46,49,42,46,49,42
14,Khagrachhari,0,0,117,0,0,0,159,162,170,159,162,170
15,Laksmipur,0,0,293,0,0,0,222,226,213,222,226,213
16,Noakhali,0,0,339,0,0,0,91,225,181,91,225,181
17,Rangamati,4,4,139,17,19,18,225,250,225,242,269,243
2,Chattogram,23,23,2087,37,55,60,1772,2410,2282,1809,2465,2342
18,Dhaka,0,0,116,0,0,0,240,254,248,240,254,248
19,Faridpur,5,0,638,18,0,0,870,675,669,888,675,669
20,Gazipur,4,4,106,12,15,15,144,156,156,156,171,171
21,Gopalganj,0,0,363,0,0,0,762,769,771,762,769,771
22,Kishorganj,0,0,182,0,0,0,308,354,350,308,354,350
23,Madaripur,0,0,135,0,0,0,604,773,757,604,773,757
24,Manikganj,0,0,26,0,0,0,59,60,62,59,60,62
25,Munshiganj,0,0,69,0,0,0,115,147,151,115,147,151
26,Narayanganj,0,0,77,0,0,0,143,167,167,143,167,167
27,Narsingdi,0,0,63,0,0,0,175,200,119,175,200,119
28,Rajbari,0,0,320,0,0,0,465,496,467,465,496,467
29,Shariatpur,0,0,232,0,0,0,239,269,294,239,269,294
30,Tangail,0,0,308,0,0,0,443,458,459,443,458,459
3,Dhaka,9,4,2637,30,15,15,4567,4778,4670,4597,4793,4685
31,Bagerhat,0,0,944,0,0,0,1176,986,923,1176,986,923
32,Chuadanga,7,8,143,31,33,26,437,465,462,468,498,488
33,Jashore,67,14,409,70,93,81,1141,1594,1334,1211,1687,1415
34,Jhenaidah,0,0,45,0,0,0,1379,1456,133,1379,1456,133
35,Khulna,0,0,365,0,0,0,1577,1585,1739,1577,1585,1739
36,Kushtia,0,0,225,0,0,0,622,574,628,622,574,628
