Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,168,0,0,0,10,36,36,10,36,36
2,Barishal,0,0,530,0,0,0,240,301,301,240,301,301
3,Bhola,0,0,208,0,0,0,32,32,32,32,32,32
4,Jhallokati,0,0,238,0,0,0,53,63,63,53,63,63
5,Patuakhali,0,0,204,0,0,0,26,28,28,26,28,28
6,Pirojpur,0,0,241,0,0,0,94,94,94,94,94,94
1,Barishal,0,0,1588,0,0,0,455,554,554,455,554,554
7,Bandarban,22,0,161,25,102,25,121,47,47,146,149,72
8,Brahmanbaria,0,0,213,0,26,39,184,150,150,184,176,189
9,Chandpur,0,0,265,0,0,0,128,123,123,128,123,123
10,Chattogram,0,0,454,0,0,0,402,416,416,402,416,416
11,Cumilla,0,0,451,0,0,17,307,334,334,307,334,351
12,Cox's Bazar,17,0,301,11,11,0,271,281,281,282,292,281
13,Feni,0,0,149,0,0,0,59,59,59,59,59,59
14,Khagrachhari,6,0,363,34,36,38,379,405,405,413,441,443
15,Laksmipur,0,0,478,0,0,0,197,185,185,197,185,185
16,Noakhali,0,0,232,0,0,0,84,205,207,84,205,207
17,Rangamati,1,0,479,2,1,1,489,299,299,491,300,300
2,Chattogram,46,0,3549,72,176,120,2621,2504,2506,2693,2680,2626
18,Dhaka,0,0,92,0,0,0,84,86,86,84,86,86
19,Faridpur,0,0,90,0,0,0,49,49,49,49,49,49
20,Gazipur,14,0,289,59,20,23,238,272,272,297,292,295
21,Gopalganj,0,0,180,0,36,0,62,36,36,62,72,36
22,Kishorganj,0,0,562,0,0,15,565,489,489,565,489,504
23,Madaripur,0,0,24,0,0,0,11,13,13,11,13,13
24,Manikganj,0,0,108,0,0,0,100,105,105,100,105,105
25,Munshiganj,0,0,41,0,0,0,22,24,24,22,24,24
26,Narayanganj,57,0,106,0,0,0,101,103,103,101,103,103
27,Narsingdi,0,57,684,279,393,437,718,939,939,997,1332,1376
28,Rajbari,0,0,40,0,0,0,15,15,15,15,15,15
29,Shariatpur,0,0,152,0,0,0,33,54,54,33,54,54
30,Tangail,30,30,1037,57,59,62,656,731,830,713,790,892
3,Dhaka,101,87,3405,395,508,537,2654,2916,3015,3049,3424,3552
31,Bagerhat,2,0,386,3,0,0,125,139,139,128,139,139
32,Chuadanga,0,0,15,0,0,0,8,9,9,8,9,9
33,Jashore,15,15,317,31,31,31,215,239,239,246,270,270
34,Jhenaidah,0,0,141,0,0,0,38,55,55,38,55,55
35,Khulna,0,0,197,0,0,0,137,140,140,137,140,140
36,Kushtia,0,0,42,0,0,0,42,31,31,42,31,31
