District name,November-17,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,400,300,0,0,0,0,450,350
Khagrachari,360,218,0,0,0,0,400,250
Rangamati,400,300,350,250,300,200,500,400
Chittagong,445,373,438,321,345,296,486,345
Coxbazar,500,400,450,350,400,300,550,450
Comilla,367,304,346,300,328,250,408,0
Chandpur,0,0,0,0,0,0,349,0
Brahmmanbaria,305,240,290,220,270,215,370,290
Noakhali,459,0,430,0,419,0,504,0
Lakshmipur,290,0,0,0,0,0,350,0
Feni,0,0,0,0,405,0,516,0
Chittagong Division,392,305,384,288,352,252,444,348
Sylhet,378,330,360,270,0,0,399,360
Maulavi Bazar,400,300,366,276,350,265,416,308
Sunamganj,295,267,0,0,0,0,340,305
Habiganj,360,275,0,200,370,0,450,309
Sylhet Division,358,293,363,249,360,265,401,321
Dhaka,390,350,367,0,342,0,440,0
Gazipur,465,328,0,0,397,225,493,398
Manikganj,370,235,335,215,311,194,400,300
Munshiganj,0,0,0,0,402,250,418,350
Narayanganj,450,400,444,381,400,350,496,397
Narsingdi,0,0,364,230,338,0,417,220
Faridpur,367,350,300,0,0,0,400,0
Rajbari,300,0,0,0,0,0,350,0
Madaripur,300,250,0,0,294,228,341,265
Gopalganj,464,409,437,405,413,397,464,452
Shariatpur,0,0,0,0,0,0,345,266
Tangail,337,289,280,0,0,0,355,270
Kishoreganj,0,0,385,0,357,0,419,0
Dhaka Division,382,326,364,308,362,274,411,365
Mymensing,390,300,0,0,0,0,400,340
Jamalpur,330,0,327,275,312,256,388,341
Sherpur,400,0,0,0,0,0,440,0
Netrokona,400,0,350,200,0,0,450,350
Mymensing Division,380,300,339,238,312,256,420,344
