District name,December-18,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,383,291
Khagrachari,400,250,0,0,0,0,468,311
Rangamati,350,263,300,213,0,0,404,288
Chittagong,479,388,460,323,428,323,502,365
Coxbazar,523,438,484,401,366,250,566,488
Comilla,438,378,402,350,386,300,490,450
Chandpur,0,0,0,0,0,0,376,0
Brahmmanbaria,360,267,320,0,296,227,388,300
Noakhali,458,0,400,0,353,0,553,0
Lakshmipur,350,0,0,0,0,0,390,0
Feni,0,0,0,0,516,0,436,0
Chittagong Division,420,331,394,322,391,275,450,356
Sylhet,394,300,343,0,0,0,419,350
Maulavi Bazar,380,253,360,0,0,0,403,335
Sunamganj,384,300,0,0,0,0,426,347
Habiganj,383,250,0,0,0,0,394,300
Sylhet Division,385,276,352,0,0,0,411,333
Dhaka,450,350,450,320,440,300,473,400
Gazipur,465,368,0,0,328,267,491,384
Manikganj,441,254,369,250,339,225,463,350
Munshiganj,0,0,0,0,406,0,467,0
Narayanganj,450,370,444,351,400,350,467,386
Narsingdi,0,0,300,0,0,0,400,0
Faridpur,0,0,400,0,0,0,400,0
Rajbari,400,0,0,0,0,0,450,0
Madaripur,375,250,0,0,300,250,394,300
Gopalganj,464,409,397,385,313,337,472,444
Shariatpur,0,0,0,0,0,0,345,266
Tangail,385,0,345,0,327,0,431,300
Kishoreganj,0,0,403,0,368,0,433,0
Dhaka Division,429,334,388,327,358,288,437,354
Mymensing,450,400,430,360,0,0,480,420
Jamalpur,375,300,321,250,321,187,434,362
Sherpur,427,0,424,0,408,0,453,0
Netrokona,350,300,300,250,0,0,450,320
Mymensing Division,400,333,369,287,365,187,454,367
