Name of Distict/Division,May,,,,June,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,361,269,335,240,357,266,330,240
Khagrachhari,319,,0,0,319,210,0,0
Rangamati,389,245,360,225,382,278,358,254
Chattagram,438,349,410,329,433,327,416,302
Coxs Bazar,450,350,415,325,430,350,401,325
Cumilla,393,326,371,300,344,300,320,280
Chandpur,324,250,305,0,350,250,325,0
Brahmmanbaria,355,310,330,280,360,255,335,235
Noakhali,350,0,320,0,358,0,330,0
Lakshmipur,360,255,330,230,340,0,320,0
Feni,350,0,335,0,350,0,332,0
Chattagram Division,372,285,351,276,366,280,347,273
"Sylhet
DivisionmDivision",342,250,318,225,328,245,308,220
Maulavi Bazar,340,264,325,235,318,259,300,235
Sunamganj,356,257,320,224,313,224,290,215
Habiganj,360,260,330,229,346,256,320,230
Sylhet Division,350,258,323,228,326,246,305,225
Dhaka,440,320,420,300,420,320,400,300
Gagipur,460,363,435,330,434,365,410,332
Manikganj,431,312,400,300,353,300,338,275
Munshiganj,365,0,345,0,340,285,322,265
Narayanganj,410,308,390,285,384,304,359,280
Narsindhi,390,350,360,325,385,255,362,240
Faridpur,320,0,300,0,341,0,320,0
Rajbari,325,260,310,0,313,280,295,0
Madaripur,300,230,285,210,300,244,285,225
Gopalganj,338,280,315,260,319,280,300,250
Sariatpur,350,258,320,0,347,263,325,235
Mymensingh,388,275,370,268,390,275,375,245
Jamalpur,402,0,385,300,391,0,380,265
Sherpur,421,320,390,0,333,0,313,0
Tangail,419,325,400,300,342,250,320,225
Kishoerganj,417,300,400,282,350,0,320,0
Natrokona,400,305,390,0,352,300,328,0
Dhaka Division,387,300,366,287,358,286,338,261
Barishal,358,0,340,250,364,336,335,305
Jhalokathi,427,0,395,0,427,0,400,0
Perojpur,370,335,346,310,363,275,345,260
Bhola,360,0,340,0,389,0,375,0
Patuakhali,363,0,343,0,365,0,342,0
Barguna,373,0,335,0,370,0,335,0
Barishal Division,375,335,350,280,380,306,355,283
