"Name of
crops",2013-14,,2014-15,,2015-16,,2016-17,,2017-18,
,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.
Aus Rice,,,,,,,,,,
Local,601027,303560,569378,293191,523605,277647,465703,253527,396308,222892
HYV*,1996624,2022477,2013925,2034899,1991898,2010995,1861285,1880090,2260276,2486751
Total Aus,2597651,2326037,2583303,2328090,2515503,2288642,2326988,2133617,2656584,2709643
Aman Rice,,,,,,,,,,
Broadcast,767291,361423,809645,384411,813209,392331,810494,396272,903078,442201
Local Trans.,3010754,1999821,2869352,1917882,2746745,1851163,2675628,1820241,2313473,1340511
HYV*,9887758,10662068,9986220,10887870,10254336,11239943,10310651,11433542,10817952,12210162
Total Aman,13665808,13023312,13665217,13190163,13814290,13483437,13796773,13656054,14034503,13992874
Boro Rice,,,,,,,,,,
Local,131134,99846,129905,98729,116883,89341,84137,65936,80262,62343
HYV*,10134666,15898467,10105669,15782543,9991968,15609325,9268392,14674722,9992250,15835103
Hybrid,1571534,3008893,1725099,3310892,1684661,3238915,1707808,3273091,1935471,3678373
Total Boro,11837334,19007201,11960673,19192164,11793512,18937581,11060337,18013749,12007983,19575819
Total Rice,28100793,34356550,28209193,34710417,28123305,34709660,27184038,33803420,28699070,36278336
Wheat,1061602,1302998,1079411,1347926,1099158,1348186,1026343,1311473,867884,1099373
"Total of Mojar
Cereals",29162390,35659553,29288604,36058343,29222463,36057846,28210441,35114893,29566954,37377709
