Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,172290,69722,16.30,1.504,104827,158600,64182,12.53,1.156,74168
2,Barishal,180154,72904,17.95,1.656,120708,200110,80980,13.66,1.260,102011
3,Bhola,196120,79365,16.90,1.559,123719,124296,50300,18.22,1.681,84540
4,Jhalakathi,92645,37491,16.95,1.563,58616,103292,41800,13.14,1.212,50652
5,Patuakhali,392923,159007,18.90,1.743,277202,248254,100463,11.92,1.100,110489
6,Pirojpur,128862,52148,20.50,1.891,98607,130622,52860,12.50,1.153,60967
1,"Barishal
Division",1162994,470638,18.05,1.665,783679,965175,390585,13.40,1.236,482827
7,Bandarban,560,227,20.30,1.872,424,353,143,18.20,1.678,240
8,Brahmanbaria,14866,6016,18.85,1.739,10460,10749,4350,14.41,1.329,5780
9,Chandpur,8141,3294,14.04,1.295,4267,8636,3495,18.26,1.684,5887
10,Chattogram,68061,27543,19.35,1.785,49159,74850,30290,16.07,1.482,44892
11,Cumilla,21217,8586,16.85,1.554,13345,19435,7865,18.03,1.663,13081
12,Cox' Bazar,12246,4956,19.63,1.811,8973,10823,4380,18.23,1.682,7366
13,Feni,17001,6880,19.60,1.808,12438,17570,7110,18.05,1.665,11837
14,Khagrachari,3999,1618,19.30,1.780,2881,5298,2144,18.00,1.660,3560
15,Laksmipur,52125,21094,19.40,1.789,37746,11367,4600,18.14,1.673,7696
16,Noakhali,203438,82327,17.46,1.611,132588,126199,51070,16.87,1.556,79469
17,Rangamati,572,231,20.07,1.851,429,561,227,17.67,1.630,370
2,"Chattogram
Division",402226,162772,18.16,1.675,272710,285842,115674,16.89,1.558,180178
18,Dhaka,2964,1199,16.29,1.503,1802,1579,639,18.10,1.670,1067
19,Faridpur,3135,1269,18.55,1.711,2171,7915,3203,17.94,1.655,5300
20,Gazipur,10156,4110,16.20,1.494,6141,10033,4060,17.40,1.605,6518
21,Gopalgonj,955,386,16.54,1.526,590,10638,4305,18.26,1.684,7250
22,Kishoregonj,15957,6457,17.56,1.620,10459,13472,5452,18.11,1.670,9105
23,Madaripur,12597,5098,18.97,1.750,8920,13663,5529,18.06,1.666,9210
24,Manikgonj,442,179,15.98,1.474,264,608,246,18.07,1.667,410
25,Munsigonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
26,Narayanganj,999,404,13.90,1.282,518,2095,848,17.83,1.645,1395
27,Narsingdi,16160,6540,18.60,1.716,11220,22326,9035,18.19,1.678,15161
28,Rajbari,853,345,16.24,1.498,517,2076,840,18.20,1.679,1410
29,Shariatpur,11170,4520,17.71,1.634,7384,16018,6482,18.25,1.683,10910
30,Tangail,52322,21174,17.95,1.656,35057,38052,15399,18.25,1.684,25928
3,"Dhaka
Division",127710,51681,17.84,1.646,85043,138476,56038,18.12,1.671,93664
31,Bagerhat,120961,48950,19.37,1.787,87459,102056,41300,11.94,1.101,45486
32,Chuadanga,36,15,14.06,1.297,19,865,350,18.12,1.671,585
