Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,1,0,0,0,10,0,29,10,0,29
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal,0,0,1,0,0,0,10,0,29,10,0,29
7,Bandarban,0,0,0,0,0,0,6,6,6,6,6,6
8,Brahmanbaria,0,0,17,0,0,0,34,50,61,34,50,61
9,Chandpur,0,0,2,0,0,0,7,8,8,7,8,8
10,Chattogram,0,0,6,0,0,0,36,64,71,36,64,71
11,Cumilla,0,0,5,0,0,0,58,62,52,58,62,52
12,Cox's Bazar,0,0,4,0,0,0,74,73,72,74,73,72
13,Feni,0,0,4,0,0,4,30,30,7,30,30,11
14,Khagrachhari,0,0,4,0,0,0,85,102,92,85,102,92
15,Laksmipur,0,0,3,0,0,0,21,21,20,21,21,20
16,Noakhali,0,0,10,0,0,0,71,72,89,71,72,89
17,Rangamati,0,0,29,0,0,0,659,216,637,659,216,637
2,Chattogram,0,0,84,0,0,4,1081,704,1115,1081,704,1119
18,Dhaka,0,0,8,0,0,0,189,198,99,189,198,99
19,Faridpur,0,0,16,0,0,0,231,236,231,231,236,231
20,Gazipur,0,0,22,0,0,0,160,172,319,160,172,319
21,Gopalganj,0,0,22,0,0,0,565,563,570,565,563,570
22,Kishorganj,0,0,15,0,0,0,164,162,176,164,162,176
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,6,0,0,0,61,64,70,61,64,70
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,3,0,0,0,49,30,42,49,30,42
27,Narsingdi,0,0,19,0,0,0,239,264,292,239,264,292
28,Rajbari,0,0,30,0,0,0,289,438,461,289,438,461
29,Shariatpur,0,0,4,0,0,0,8,9,162,8,9,162
30,Tangail,0,0,24,0,0,0,347,353,333,347,353,333
3,Dhaka,0,0,169,0,0,0,2302,2489,2755,2302,2489,2755
31,Bagerhat,0,0,27,0,0,0,230,247,246,230,247,246
32,Chuadanga,0,0,13,0,0,0,278,295,307,278,295,307
33,Jashore,0,0,35,0,0,0,732,815,836,732,815,836
34,Jhenaidah,0,0,39,0,0,0,657,834,783,657,834,783
35,Khulna,0,0,28,0,0,0,393,410,394,393,410,394
36,Kushtia,0,0,112,0,0,0,3100,3543,3517,3100,3543,3517
