Name of Stations,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chattogram,3461,2405,3101,3643,2561,3450,3713,2274,3817
Cox's Bazar,3283,3438,4440,4123,4059,2483,4716,3297,3951
Kutubdia,2658,2702,3894,4677,4203,2960,4253,2925,3721
Sandwip,3614,3509,4260,4081,3183,3468,4024,3743,5072
Sitakunda,3119,2868,3758,3933,2598,2964,3811,2753,4868
Teknaf,3810,****,4978,4869,4186,3507,5447,4299,4178
Rangamati,2395,2673,2361,2817,1950,1923,3342,2032,3819
Cumilla,1824,1578,1884,1929,1643,1635,2155,2174,3179
Chandpur,1546,1765,2128,1757,2545,1774,2804,2350,3006
Maijdicourt,2808,3002,3234,2466,3044,2813,3209,2838,3902
Feni,2985,2709,3194,2885,2488,2510,3099,3091,4476
Hatiya,3080,3366,3842,3005,3436,3128,4360,3668,4235
Sylhet,3287,4939,3101,4610,3825,3372,4521,4291,5944
Dhaka,1930,1523,1776,1329,1590,1399,2166,1365,2892
Faridpur,1584,1409,1509,1279,1639,1552,1827,1649,2117
Madaripur,1580,1330,1613,1546,2152,1436,1877,1983,0
Mymensingh,1662,2095,2147,1479,1739,1934,2084,1968,2842
Srimangal,2452,2290,2050,1927,2352,2282,2518,2546,3813
Tangail,1391,1750,1839,1469,1182,1641,1871,1131,2488
Barishal,1820,1662,1909,1617,2321,1454,2434,2351,2624
Bhola,1920,1774,2015,1493,2194,1762,2649,2460,2497
Jashore,1668,1380,1361,1305,1676,1318,1867,1366,2178
Khulna,1806,1357,1948,1645,2064,1461,2317,2222,2286
Mongla,1720,1673,2247,1784,1831,1508,2110,2118,2100
Satkhira,1450,1295,2121,1458,1662,1298,1792,1345,1931
Khepupara,2289,2568,3092,2628,3120,1877,3151,2784,3344
Patuakhali,2309,2167,2414,1895,2658,2028,3098,2751,2831
Bogura,1410,1271,1721,1140,1219,1708,1581,1081,2163
Dinajpur,2025,1641,1644,1511,1827,1398,1965,1649,1752
Ishwardi,1292,893,1736,1062,1129,1440,1584,1316,1799
Rajshahi,1043,792,1475,1164,1248,1188,1421,1375,1463
Rangpur,2217,2102,1932,1877,1916,1591,2417,2159,1852
Sayedpur,2153,1951,1890,1790,1722,1668,1885,1373,2127
Chuadanga,1234,852,1622,1138,1165,1090,1465,1395,1532
