Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,136,0,0,0,39,79,73,39,79,73
2,Barishal,0,0,443,0,0,0,460,356,398,460,356,398
3,Bhola,0,0,248,0,0,0,134,135,205,134,135,205
4,Jhallokati,0,0,354,0,0,0,53,56,111,53,56,111
5,Patuakhali,0,0,290,0,0,0,30,30,60,30,30,60
6,Pirojpur,0,1,249,0,3,0,69,94,188,69,97,188
1,Barishal,0,1,1720,0,3,0,785,750,1035,785,753,1035
7,Bandarban,72,72,142,126,122,122,125,123,123,251,245,245
8,Brahmanbaria,2,0,330,3,1,615,543,556,562,546,557,1177
9,Chandpur,0,0,243,0,0,0,105,60,19,105,60,19
10,Chattogram,178,178,1135,633,649,772,1616,1695,1382,2249,2344,2154
11,Cumilla,0,0,238,0,0,0,217,247,318,217,247,318
12,Cox's Bazar,13,12,280,58,74,64,317,303,345,375,377,409
13,Feni,0,0,146,0,0,0,34,35,35,34,35,35
14,Khagrachhari,433,359,1662,893,586,600,665,540,528,1558,1126,1128
15,Laksmipur,0,0,118,0,0,0,52,96,95,52,96,95
16,Noakhali,0,0,155,0,0,0,98,105,93,98,105,93
17,Rangamati,128,185,1687,912,1054,1140,883,938,942,1795,1992,2082
2,Chattogram,826,806,6135,2625,2486,3313,4655,4698,4442,7280,7184,7755
18,Dhaka,0,3,141,0,1,0,102,106,103,102,107,103
19,Faridpur,0,0,457,0,0,0,510,530,515,510,530,515
20,Gazipur,145,68,607,427,131,136,608,701,740,1035,832,876
21,Gopalganj,10,8,312,10,6,55,190,207,158,200,213,213
22,Kishorganj,5,5,1472,48,162,203,1559,3238,3053,1607,3400,3256
23,Madaripur,0,0,185,0,0,0,286,312,315,286,312,315
24,Manikganj,0,0,122,0,0,0,173,184,188,173,184,188
25,Munshiganj,0,0,52,0,0,0,73,61,98,73,61,98
26,Narayanganj,17,18,102,63,61,0,254,272,135,317,333,135
27,Narsingdi,5,5,464,20,3,341,628,712,355,648,715,696
28,Rajbari,0,0,553,0,738,333,342,890,1299,342,1628,1632
29,Shariatpur,0,0,342,0,0,0,115,187,187,115,187,187
30,Tangail,17,17,843,47,48,48,958,994,994,1005,1042,1042
3,Dhaka,199,124,5653,615,1150,1116,5798,8394,8140,6413,9544,9256
31,Bagerhat,3,3,469,2,3,3,358,372,372,360,375,375
32,Chuadanga,68,63,156,108,120,125,105,142,147,213,262,272
33,Jashore,137,140,1388,1219,917,1010,1232,1394,1250,2451,2311,2260
34,Jhenaidah,0,91,516,278,258,298,676,736,734,954,994,1032
35,Khulna,0,0,450,0,0,0,363,347,361,363,347,361
36,Kushtia,264,271,935,830,698,836,1537,1896,1552,2367,2594,2388
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,128,131,1209,2647,2611,2398,1112,1367,1295,3759,3978,3693
38,Meherpur,298,329,363,575,604,515,360,335,282,935,939,797
39,Narail,20,21,496,19,43,44,713,813,820,732,856,864
40,Satkhira,55,61,513,125,156,161,429,700,501,554,856,662
4,Khulna,973,1110,6495,5803,5410,5390,6885,8102,7314,12688,13512,12704
41,Jamalpur,34,0,768,302,312,346,1474,1746,1872,1776,2058,2218
42,Mymensing,34,20,2385,305,67,56,8561,7477,7486,8866,7544,7542
43,Netrakona,0,0,384,0,0,0,511,514,557,511,514,557
44,Sherpur,0,0,334,0,0,0,421,505,0,421,505,0
5,Mymensing,68,20,3872,607,379,402,10967,10242,9915,11574,10621,10317
45,Bogura,3,0,936,17,57,59,890,2049,2051,907,2106,2110
46,Joypurhat,8,7,127,93,45,50,299,273,307,392,318,357
47,Naogaon,23,23,492,169,83,346,929,1145,908,1098,1228,1254
48,Natore,178,3597,2632,1565,1023,5352,2221,9221,8987,3786,10244,14339
49,Chapai Nawabganj,57,49,227,103,175,260,406,431,310,509,606,570
50,Pabna,951,1423,2088,4794,4620,4564,1632,1910,1961,6426,6530,6525
51,Rajshahi,190,180,1083,2025,1789,2790,2073,2254,2669,4098,4043,5459
52,Sirajganj,42,2,269,9,17,17,553,570,594,562,587,611
6,Rajshahi,1452,5281,7854,8775,7809,13438,9003,17853,17787,17778,25662,31225
53,Dinajpur,1251,1048,3097,6229,7328,6315,2900,3297,3605,9129,10625,9920
54,Gaibandha,1,400,419,21,13,18,279,334,353,300,347,371
55,Kurigram,0,4,402,1,0,126,356,583,660,357,583,786
56,Lalmonirhat,27,48,380,173,202,301,314,398,340,487,600,641
57,Nilphamari,51,51,838,339,284,395,1933,1317,1268,2272,1601,1663
58,Panchagarh,164,168,1292,658,660,952,2014,2000,1676,2672,2660,2628
59,Rangpur,52,57,913,218,273,287,1231,1255,1311,1449,1528,1598
60,Thakurgaon,184,184,800,1522,1385,851,1732,1636,1198,3254,3021,2049
7,Rangpur,1730,1960,8141,9161,10145,9245,10759,10820,10411,19920,20965,19656
61,Habiganj,12,10,169,127,100,100,372,394,397,499,494,497
62,Maulvibazar,9,12,333,15,36,38,79,658,804,94,694,842
63,Sunamganj,2,21,328,9,19,38,301,478,464,310,497,502
64,Sylhet,378,1,188,122,11,17,242,360,354,364,371,371
8,Sylhet,401,44,1019,273,166,193,994,1890,2019,1267,2056,2212
,BANGLADESH,5649,7136,40889,27859,27548,33097,49846,62749,61063,77705,90297,94160
