Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,"2016-
17",2017-18
1,Barguna,0,0,1580,0,0,0,1136,1277,4148,1136,1277,1039
2,Barishal,0,0,1592,0,0,0,2780,3413,1433,2780,3413,2811
3,Bhola,-,0,1278,-,0,0,1052,974,0,1052,974,683
4,Jhallokati,0,0,1014,0,0,0,878,902,775,878,902,953
5,Patuakhali,0,0,1912,0,0,0,520,617,3693,520,617,629
6,Pirojpur,0,0,2440,0,0,0,2927,2838,4395,2927,2838,3071
1,Barishal,-,0,9816,-,0,0,9293,10021,14444,9293,10021,9186
7,Bandarban,0,0,13,0,0,0,9,9,0,9,9,9
8,Brahmanbaria,0,0,54,0,0,0,137,131,0,137,131,131
9,Chandpur,0,0,1403,0,0,0,4589,4711,0,4589,4711,4488
10,Chattogram,0,0,1114,0,0,0,3011,2950,0,3011,2950,2838
11,Cumilla,0,0,490,0,0,0,820,733,0,820,733,875
12,Cox's Bazar,-,1,117,4,5,0,175,175,0,179,180,396
13,Feni,1,0,963,-,0,0,1202,1170,0,1202,1170,1142
14,Khagrachhari,0,0,105,0,0,0,423,374,0,423,374,375
15,Laksmipur,0,0,1686,0,0,0,4780,4672,0,4780,4672,4692
16,Noakhali,0,0,917,0,0,0,3670,3305,0,3670,3305,145
17,Rangamati,9,9,227,36,38,4,407,440,6,443,478,121
2,Chattogram,10,10,7090,40,43,4,19223,18670,6,19263,18713,15212
18,Dhaka,0,0,134,0,0,0,538,536,144,538,536,565
19,Faridpur,113,113,2609,929,944,52,5098,4826,2133,6027,5770,6027
20,Gazipur,59,53,540,309,351,0,1469,1335,827,1778,1686,1692
21,Gopalganj,520,62,2654,0,66,1407,4050,3265,12767,4050,3331,2588
22,Kishorganj,0,0,86,0,0,0,96,101,116,96,101,32
23,Madaripur,11,0,2872,668,0,0,7554,7392,10127,8222,7392,5303
24,Manikganj,39,38,1086,180,179,0,2201,2226,206,2381,2405,2356
25,Munshiganj,0,0,218,0,0,0,1139,1114,21,1139,1114,1093
26,Narayanganj,0,0,84,0,0,0,251,255,45,251,255,289
27,Narsingdi,0,0,136,0,0,0,303,279,0,303,279,3534
28,Rajbari,3,5,1004,491,0,3,4559,479,716,5050,479,3432
29,Shariatpur,3,3,1512,18,41,0,1544,3023,1201,1562,3064,3145
30,Tangail,17,17,720,126,94,0,2375,1668,0,2501,1762,1591
3,Dhaka,765,291,13654,2721,1675,1462,31177,26499,28303,33898,28174,31647
31,Bagerhat,86,0,1926,259,0,13,2554,1963,4540,2813,1963,4101
32,Chuadanga,180,123,1344,2492,1997,26,4190,3573,850,6682,5570,9720
33,Jashore,267,260,4969,6102,625,89,6356,12403,2700,12458,13028,8427
34,Jhenaidah,50,49,4466,1709,1594,346,9035,7906,1720,10744,9500,8870
35,Khulna,28,17,2046,281,242,0,3331,3288,1551,3612,3530,3727
36,Kushtia,37,4100,1451,498,263,28,6133,6168,632,6631,6431,8386
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,21,0,1140,291,0,0,1920,2232,2072,2211,2232,1737
38,Meherpur,0,0,170,0,0,0,299,309,289,299,309,286
39,Narail,0,0,989,0,0,1296,996,979,13093,996,979,978
40,Satkhira,68,65,3760,-,0,122,4674,3055,6476,4674,3055,16326
4,Khulna,737,4614,22263,11632,4721,1920,39488,41876,33923,51120,46597,62558
41,Jamalpur,0,0,101,0,0,0,78,77,0,78,77,81
42,Mymensing,0,0,2028,0,0,0,3306,3664,0,3306,3664,3739
43,Netrakona,0,0,0,0,0,0,14,40,5,14,40,0
44,Sherpur,0,0,92,0,0,0,139,356,32,139,356,371
5,Mymensing,0,0,2221,0,0,0,3537,4137,37,3537,4137,4191
45,Bogura,0,0,1555,0,0,0,5143,5178,575,5143,5178,5176
46,Joypurhat,1,0,288,-,0,0,1443,1107,179,1443,1107,1334
47,Naogaon,0,0,1569,0,0,0,3873,3569,2536,3873,3569,3601
48,Natore,232,193,4040,3564,2086,0,24782,25713,2149,28346,27799,24274
49,Chapai Nawabganj,0,0,136,0,0,0,589,424,618,589,424,356
50,Pabna,0,0,1646,0,0,0,3071,3149,393,3071,3149,3078
51,Rajshahi,24,24,3155,96,440,0,17342,17318,4277,17438,17758,17793
52,Sirajganj,0,0,189,0,0,0,655,638,22,655,638,656
6,Rajshahi,257,217,12578,3660,2526,0,56898,57096,10749,60558,59622,56268
53,Dinajpur,0,0,390,0,0,0,438,470,182,438,470,449
54,Gaibandha,0,0,142,0,0,0,301,207,24,301,207,241
55,Kurigram,0,0,178,0,0,0,283,179,3,283,179,326
56,Lalmonirhat,0,0,51,0,0,0,351,323,0,351,323,334
57,Nilphamari,0,0,61,0,0,0,284,128,9,284,128,100
58,Panchagarh,0,0,0,0,0,0,24,28,2,24,28,0
59,Rangpur,0,0,216,0,0,0,372,356,130,372,356,308
60,Thakurgaon,0,0,33,0,0,7,55,61,11,55,61,45
7,Rangpur,0,0,1071,0,0,7,2108,1752,361,2108,1752,1803
61,Habiganj,0,0,0,0,0,0,0,40,0,0,40,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0,0,40,0,0,40,0
,BANGLADESH,1769,5132,68693,18053,8965,3393,161724,160091,87823,179777,169056,180865
