"Sl.
No.",Species,Jamuna,,,,,,,,Brahmaputra,,,,Total,"Grand
Total"
,,"j
n
a
g
k
in
a
M","a
n
b
a
P","lia
g
n
a
T","j
n
a
g
j
a
r
iS","a
r
g
o
B","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","Sub-
Total","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","m
a
r
g
ir
u
K","Sub-
Total",,
1,Rui,6,9,23,20,5,37,3,103,11,5,3,19,122,547
2,Catla,3,5,14,26,3,22,3,76,6,5,3,14,90,344
3,Mrigal,2,3,17,26,2,14,2,66,3,2,2,7,73,891
4,Kalibaus,2,0,11,3,0,5,0,21,3,2,0,5,26,102
5,Bata,0,2,0,2,0,0,0,4,0,0,0,0,4,530
6,Ghonia,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,Pangas,0,0,0,0,0,0,0,0,0,0,0,0,0,300
8,Boal/Air,30,29,52,3,9,26,14,163,16,26,20,62,225,670
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,314,520,393,1259,25,214,68,2793,106,67,273,446,3239,13533
14,Hilsa/Illish,76,50,28,89,5,69,13,330,54,8,20,82,412,176583
15,Galda,0,2,3,0,2,0,2,9,2,2,0,4,13,235
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Other small shrimp/prawn,43,33,49,26,31,19,28,229,15,27,20,62,291,1170
Total,,476,653,599,1454,81,406,133,3793,216,144,341,701,4494,194912
