Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,304232,123116,30.10,2.811,346090,311445,126035,30.50,2.813,354584
34,Jhenaidah,218617,88470,31.70,3.012,266486,245042,99163,30.34,2.798,277486
35,Khulna,233655,94555,24.70,2.510,237373,235483,95295,22.40,2.066,196908
36,Kustia,204057,82577,28.50,2.742,226393,208652,84437,29.80,2.748,232075
37,Magura,142050,57485,25.70,2.640,151739,145091,58715,29.71,2.740,160884
38,Meherpur,59230,23969,34.90,3.030,72618,63334,25630,30.27,2.793,71573
39,Narail,82319,33313,24.00,2.126,70822,98782,39975,26.11,2.408,96273
40,Satkhira,214214,86688,27.10,3.016,261492,209265,84685,29.75,2.744,232351
4,"Khulna
Division",1737885,703284,29.21,2.694,1894891,1778265,719625,27.83,2.567,1847055
41,Jamalpur.,242611,98179,21.00,2.435,239048,246813,99880,26.63,2.456,245328
42,Mymensingh,645413,261184,26.80,2.475,646505,640114,259040,28.34,2.614,677160
43,Netrokona,338049,136801,22.60,2.363,323319,302450,122395,26.60,2.453,300282
44,Sherpur,211604,85632,24.20,2.237,191546,218322,88350,27.30,2.518,222444
5,"Mymensingh
Division",1437677,581796,26.10,2.407,1400418,1407699,569665,27.50,2.537,1445214
45,Bogra,447636,181148,27.07,2.728,494235,406199,164380,29.73,2.743,450823
46,Joypurhat,174639,70673,25.00,2.858,201989,174633,70670,30.39,2.804,198125
47,Naogaon,503787,203872,29.39,2.902,591670,405636,164152,28.44,2.623,430561
48,Natore,194805,78833,25.80,2.538,200055,183165,74123,26.84,2.476,183520
49,"Chapai
Nawabgonj",129509,52409,28.10,2.773,145324,120659,48828,29.16,2.690,131323
50,Pabna,226205,91540,25.50,2.145,196395,234080,94727,23.35,2.154,204045
51,Rajshahi,175542,71038,29.20,2.915,207047,175730,71114,29.91,2.759,196177
52,Sirajgonj,197221,79811,26.79,2.470,197160,204607,82800,25.69,2.369,196181
6,"Rajshahi
Division",2049344,829325,29.20,2.694,2233875,1904709,770794,28.00,2.583,1990755
53,Dinajpur,625691,253203,24.10,2.544,644047,633615,256410,30.17,2.783,713563
54,Gaibandha,279320,113035,19.10,2.580,291596,289860,117300,29.13,2.687,315190
55,Kurigram,249849,101108,24.10,2.443,247025,284367,115077,28.54,2.632,302921
56,Lalmonirhat,202029,81757,25.80,2.822,230719,208833,84510,30.34,2.799,236528
57,Nilphamari,267532,108264,17.00,2.787,301775,276289,111808,30.80,2.841,317680
58,Panchagar,227466,92051,29.60,2.797,257502,240908,97490,30.07,2.774,270411
59,Rangpur,393225,159130,28.45,2.817,448271,403928,163461,30.62,2.824,461649
60,Thakurgaon,315692,127754,27.39,2.838,362581,337268,136485,30.51,2.814,384125
7,"Rangpur
Division",2560804,1036301,29.12,2.686,2783516,2675067,1082541,30.06,2.773,3002067
61,Hobigonj,238205,96396,25.70,2.092,201652,252052,102000,25.90,2.389,243682
62,Maulovibazar,244246,98841,30.30,2.580,254963,241896,97890,29.45,2.716,265917
63,Sunamgonj,142830,57800,27.60,2.189,126520,183669,74327,26.17,2.414,179453
64,Sylhet,324428,131289,28.00,2.204,289409,350699,141920,25.69,2.369,336260
8,"Sylhet
Division",949709,384326,24.61,2.270,872544,1028316,416137,26.71,2.464,1025312
BANGLADESH,,13796773,5583252,26.52,2.446,13656089,14034504,5679456,26.71,2.464,13992874
