Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,0,0,0.00,0.000,0,0,0,0,0,0
2,Barishal,6114,2474,14.24,1.313,3250,2024,819,14.10,1.300,1065
3,Bhola,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,Jhalakathi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,
6,Pirojpur,5821,2356,17.36,1.601,3772,6894,2790,14.11,1.301,3630
1,"Barishal
Division",11935,4830,15.76,1.454,7022,8918,3609,14.10,1.301,4695
7,Bandarban,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,Brahmanbaria,51319,20768,17.45,1.610,33427,52511,21250,15.39,1.420,30175
9,Chandpur,31779,12860,11.01,1.016,13060,45357,18355,11.71,1.080,19823
10,Chattogram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Cumilla,71233,28826,13.02,1.201,34619,70315,28455,12.14,1.120,31870
12,Cox' Bazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
13,Feni,0,0,0.00,0.000,0,0,0,0.00,0.000,0
14,Khagrachari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
15,Laksmipur,0,0,0.00,0.000,0,12850,5200,14.09,1.300,6760
16,Noakhali,0,0,0.00,0.000,0,512,207,12.99,1.198,248
17,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,"Chattogram
Division",154331,62454,14.08,1.299,81107,181544,73467,13.12,1.210,88876
18,Dhaka,25530,10331,10.20,0.941,9720,19670,7960,13.01,1.200,9552
19,Faridpur,34745,14061,11.87,1.095,15395,41687,16870,12.99,1.198,20210
20,Gazipur,620,251,10.31,0.000,239,895,362,12.37,1.141,413
21,Gopalgonj,48040,19441,12.25,1.130,21967,39587,16020,12.93,1.193,19110
22,Kishoregonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
23,Madaripur,39192,15860,13.70,1.264,20042,37437,15150,14.65,1.352,20479
24,Manikgonj,39743,16083,10.30,0.950,15280,79075,32000,9.76,0.900,28800
25,Munsigonj,49793,20150,11.90,1.098,22118,50003,20235,9.87,0.910,18414
26,Narayanganj,17472,7071,11.90,1.098,7761,19102,7730,12.36,1.140,8812
27,Narsingdi,0,0,0.00,0.000,0,2676,1083,14.09,1.300,1408
28,Rajbari,9892,4003,13.90,1.282,5132,6252,2530,11.93,1.100,2783
29,Shariatpur,28187,11407,13.81,1.274,14530,22858,9250,14.65,1.351,12500
30,Tangail,64090,25936,12.40,1.144,29665,80669,32645,10.84,1.000,32645
3,"Dhaka
Division",357304,144593,12.14,1.119,161849,399910,161835,11.73,1.082,175126
31,Bagerhat,2942,1191,16.67,1.538,1831,1124,455,13.58,1.253,570
32,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
