Name of Distict/Division,May,,,,June,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,253,230,235,205,262,225,234,205
Jhenaidah,285,240,275,220,280,220,255,200
Magura,283,0,254,0,283,0,260,0
Narial,248,200,220,0,232,200,223,0
Khulna,357,225,336,0,328,0,300,0
Bagerhat,356,0,341,0,333,0,315,0
Satkhira,244,200,0,0,249,205,0,0
Kushita,294,0,270,0,287,0,265,0
Chuadang,260,0,240,0,222,0,210,0
Meherpur,231,0,206,0,205,190,190,0
Khulna Division,281,219,264,213,268,208,250,203
Rajshahi,279,232,252,215,268,220,245,210
Noagoan,289,227,277,210,270,216,256,204
Natore,259,195,251,189,255,194,247,189
Nawbganj,230,200,210,180,232,200,225,190
Bogura,331,243,300,220,286,229,260,205
Joypurhat,349,255,323,225,281,230,273,210
Pabna,350,300,325,290,336,266,305,240
Sirajganj,362,276,350,250,350,300,340,280
Rajshahi Division,306,241,286,222,285,232,269,216
Rangpur,319,195,293,185,280,224,260,200
Gaibanda,271,220,250,206,250,190,228,0
Kurigarm,274,214,253,190,272,205,253,195
Nilphamari,326,229,308,205,290,220,280,205
Lalmonirhat,280,213,250,195,280,213,255,200
Dinajpur,310,251,290,235,314,250,292,222
Thakurgaon,270,238,250,220,308,244,275,225
Panchagar,274,190,274,200,284,224,260,200
Rangpur Division,291,219,271,205,285,221,263,207
Bangladesh,337,265,316,244,324,254,304,238
