Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,325793,131841,46.13,4.255,560987,333788,135077,42.93,3.960,534883
34,Jhenaidah,198551,80349,46.35,4.275,343518,211196,85466,45.90,4.234,361848
35,Khulna,77230,31253,42.47,3.917,122432,63811,25823,38.33,3.536,91298
36,Kustia,80543,32594,43.03,3.969,129368,65670,26575,43.28,3.992,106092
37,Magura,71450,28914,43.14,3.979,115056,91276,36937,44.67,4.120,152195
38,Meherpur,49560,20056,42.27,3.899,78197,29958,12123,42.98,3.964,48063
39,Narail,59036,23891,40.42,3.728,89072,106020,42904,43.13,3.978,170685
40,Satkhira,151890,61467,41.32,3.811,234270,137474,55633,40.88,3.771,209777
4,"Khulna
Division",1146706,464047,43.69,4.030,1869888,1156300,467929,42.70,3.939,1843199
41,Jamalpur.,270389,109421,41.89,3.864,422792,263213,106517,41.90,3.865,411669
42,Mymensingh,573742,232181,43.20,3.985,925183,585760,237044,44.01,4.059,962273
43,Netrokona,332670,134624,43.10,3.976,535203,396259,160357,44.72,4.125,661467
44,Sherpur,141850,57404,41.00,3.782,217090,163380,66116,41.26,3.806,251626
5,"Mymensingh
Division",1318651,533629,42.67,3.936,2100268,1408612,570034,43.50,4.012,2287036
45,Bogura,421208,170454,41.02,3.784,644940,421588,170607,41.30,3.809,649928
46,Joypurhat,122880,49727,44.94,4.145,206130,122901,49735,41.84,3.859,191944
47,Naogaon,441451,178646,43.78,4.038,721416,467810,189312,43.72,4.033,763444
48,Natore,126077,51021,49.72,4.586,233988,144187,58349,50.15,4.626,269913
49,"Chapai
Nawabgonj",112314,45451,41.16,3.797,172559,114633,46389,42.08,3.881,180058
50,Pabna,144087,58309,43.10,3.976,231808,134542,54446,43.37,4.000,217808
51,Rajshahi,151067,61134,43.05,3.971,242756,159671,64615,41.28,3.808,246033
52,Sirajgonj,311288,125971,44.19,4.076,513468,315114,127520,45.58,4.204,536129
6,"Rajshahi
Division",1830372,740711,43.43,4.006,2967066,1880446,760975,43.53,4.015,3055258
53,Dinajpur,396539,160471,42.54,3.924,629667,392808,158961,43.52,4.014,638111
54,Gaibandha,242513,98140,38.81,3.580,351322,233290,94407,36.81,3.395,320545
55,Kurigram,204177,82626,41.77,3.853,318345,203100,82190,42.87,3.954,325005
56,Lalmonirhat,83580,33823,42.07,3.881,131251,69135,27977,38.42,3.544,99148
57,Nilphamari,134951,54612,42.68,3.937,214995,168492,68185,43.84,4.044,275726
58,Panchagar,78473,31756,43.30,3.994,126834,74756,30252,43.31,3.995,120854
59,Rangpur,224549,90870,43.41,4.004,363855,225223,91143,43.52,4.014,365872
60,Thakurgaon,125983,50983,43.33,3.997,203764,145504,58882,38.16,3.520,207258
7,"Rangpur
Division",1490765,603280,42.05,3.879,2340033,1512308,611998,41.67,3.844,2352519
61,Hobigonj,171022,69209,35.11,3.239,224135,165307,66896,35.83,3.305,221088
62,Maulovibazar,92104,37272,36.67,3.382,126071,125296,50705,36.70,3.385,171645
63,Sunamgonj,113413,45896,38.38,3.540,162478,425177,172060,38.40,3.542,609436
64,Sylhet,120385,48717,32.31,2.980,145190,165307,66896,34.17,3.152,210845
8,"Sylhet
Division",496924,201094,35.47,3.271,657875,881087,356557,36.88,3.402,1213014
BANGLADESH,,9268392,3750715,42.42,3.913,14674722,9992250,4043645,42.46,3.916,15835103
