"Sl.
No.",Species,Lower Padma,,,,,,,,Upper Padma,,,,,,,Total
,,"r
u
p
t
a
ir
a
S","r
u
p
ir
a
d
a
M","n
a
g
ih
sj
n
u
M","a
k
a
h
D","j
n
a
g
k
in
a
M","r
u
p
d
ir
a
F","ir
a
b
j
a
R","Sub-
Total","ir
a
b
j
a
R","a
it
h
s
u
K","a
n
b
a
P","e
r
o
t
a
N","ih
a
h
s
j
a
R","j
n
a
g
.C b
a
w
a
N","Sub-
Total",
1,Rui,29,19,9,15,12,17,25,126,18,15,40,17,26,28,144,270
2,Catla,15,8,7,13,8,5,13,69,11,11,21,11,22,23,99,168
3,Mrigal,15,6,4,11,4,9,5,54,6,3,4,3,10,13,39,93
4,Kalibaus,7,5,3,8,3,4,3,33,4,2,12,3,4,3,28,61
5,Bata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ghonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,8,5,4,5,3,3,4,32,0,7,21,20,47,27,122,154
8,Boal/Air,17,25,36,15,20,21,7,141,11,11,31,11,32,41,137,278
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,156,563,227,146,129,396,317,1934,372,169,929,234,692,543,2939,4873
14,Hilsa/Illish,253,183,650,228,958,641,247,3160,135,17,104,4,87,4,351,3511
15,Galda,0,3,3,5,1,1,3,16,1,1,0,0,0,8,10,26
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Other small shrimp/prawn,26,39,21,97,30,22,59,294,23,13,21,11,28,28,124,418
Total,,527,856,963,542,1168,1120,684,5861,581,249,1183,314,948,719,3994,9855
