Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,458,0,0,0,52,52,218,52,52,218
2,Barishal,0,0,301,0,0,0,273,218,224,273,218,224
3,Bhola,0,0,608,0,0,0,366,390,287,366,390,287
4,Jhallokati,0,0,2457,0,0,0,25,27,2154,25,27,2154
5,Patuakhali,0,0,370,0,0,0,144,146,184,144,146,184
6,Pirojpur,0,0,176,0,0,0,42,42,92,42,42,92
1,Barishal,0,0,4370,0,0,0,902,875,3159,902,875,3159
7,Bandarban,4,4,38,3,4,4,72,68,68,75,72,72
8,Brahmanbaria,0,0,116,0,0,0,72,76,85,72,76,85
9,Chandpur,0,0,271,0,0,0,99,103,103,99,103,103
10,Chattogram,2,2,565,6,5,5,292,300,300,298,305,305
11,Cumilla,0,0,189,0,0,0,146,244,233,146,244,233
12,Cox's Bazar,0,0,110,0,0,0,38,42,42,38,42,42
13,Feni,0,0,299,0,0,0,0,65,65,0,65,65
14,Khagrachhari,0,0,73,0,0,0,4,36,36,4,36,36
15,Laksmipur,0,0,384,0,0,0,789,116,117,789,116,117
16,Noakhali,0,0,190,0,0,0,0,78,56,0,78,56
17,Rangamati,0,0,1031,0,0,0,594,596,570,594,596,570
2,Chattogram,6,6,3268,9,9,9,2106,1724,1675,2115,1733,1684
18,Dhaka,5,0,109,0,0,0,99,220,123,99,220,123
19,Faridpur,0,0,514,0,0,0,215,231,215,215,231,215
20,Gazipur,0,0,418,0,0,0,141,148,139,141,148,139
21,Gopalganj,0,0,343,0,0,0,340,258,258,340,258,258
22,Kishorganj,0,0,343,0,0,0,408,276,370,408,276,370
23,Madaripur,0,0,245,0,0,0,190,188,141,190,188,141
24,Manikganj,0,0,93,0,0,0,60,63,63,60,63,63
25,Munshiganj,0,0,26,0,0,0,31,34,31,31,34,31
26,Narayanganj,0,0,27,0,0,0,9,11,11,9,11,11
27,Narsingdi,0,0,141,0,0,3,220,197,185,220,197,188
28,Rajbari,0,0,188,0,0,0,94,94,103,94,94,103
29,Shariatpur,46,0,557,5,0,0,235,229,175,240,229,175
30,Tangail,0,0,752,0,0,0,500,507,504,500,507,504
3,Dhaka,51,0,3757,5,0,3,2542,2456,2318,2547,2456,2321
31,Bagerhat,0,0,293,0,0,0,78,83,83,78,83,83
32,Chuadanga,0.25,0,137,0,0,0,292,289,285,292,289,285
33,Jashore,0,0,536,0,0,0,388,388,386,388,388,386
34,Jhenaidah,0,0,243,0,0,0,126,144,128,126,144,128
35,Khulna,0,0,195,0,0,0,94,42,92,94,42,92
36,Kushtia,0,0,191,0,0,0,139,152,184,139,152,184
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,262,0,0,0,229,247,256,229,247,256
38,Meherpur,0,0,62,0,0,0,85,88,90,85,88,90
39,Narail,0,0,356,0,0,0,314,359,359,314,359,359
40,Satkhira,0,0,177,0,0,0,67,90,96,67,90,96
4,Khulna,0.25,0,2452,0,0,0,1812,1882,1959,1812,1882,1959
41,Jamalpur,0,0,385,0,0,0,464,471,446,464,471,446
42,Mymensing,0,0,683,0,0,0,605,552,1220,605,552,1220
43,Netrakona,0,0,338,0,0,0,251,258,260,251,258,260
44,Sherpur,0,0,1447,0,0,0,412,0,1043,412,0,1043
5,Mymensing,0,0,2853,0,0,0,1732,1281,2969,1732,1281,2969
45,Bogura,0,0,348,0,0,0,312,332,397,312,332,397
46,Joypurhat,0,0,228,0,0,0,238,236,238,238,236,238
47,Naogaon,0,0,110,0,0,0,206,213,173,206,213,173
48,Natore,0,0,294,0,0,0,253,264,261,253,264,261
49,Chapai Nawabganj,0,0,72,0,0,0,54,60,72,54,60,72
50,Pabna,0,0,520,0,0,0,310,684,1585,310,684,1585
51,Rajshahi,0,0,72,0,0,0,38,65,461,38,65,461
52,Sirajganj,0,0,275,0,0,0,262,271,361,262,271,361
6,Rajshahi,0,0,1919,0,0,0,1673,2125,3548,1673,2125,3548
53,Dinajpur,0,0,342,0,0,0,350,397,430,350,397,430
54,Gaibandha,0,0,133,0,0,0,9,83,74,9,83,74
55,Kurigram,0,0,257,0,0,0,119,105,213,119,105,213
56,Lalmonirhat,0,0,241,0,0,0,330,276,296,330,276,296
57,Nilphamari,0,0,280,0,0,0,298,280,229,298,280,229
58,Panchagarh,0,0,33,0,0,0,58,60,58,58,60,58
59,Rangpur,0,0,57,0,0,0,27,31,31,27,31,31
60,Thakurgaon,0,0,16,0,0,0,1,7,7,1,7,7
7,Rangpur,0,0,1358,0,0,0,1192,1239,1338,1192,1239,1338
61,Habiganj,0,0,68,0,0,0,54,54,55,54,54,55
62,Maulvibazar,0,0,50,0,0,0,0,9,8,0,9,8
63,Sunamganj,0,0,39,0,0,0,11,9,8,11,9,8
64,Sylhet,0,0,2,0,0,0,2,2,3,2,2,3
8,Sylhet,0,0,159,0,0,0,67,74,74,67,74,74
,BANGLADESH,57.25,6,20137,14,9,12,12026,11656,17040,12040,11665,17052
