Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,49726,20123,58.20,5.368,108027,61849,25029,58.23,5.371,134433
34,Jhenaidah,7071,2861,58.97,5.439,15565,2101,850,58.10,5.359,4556
35,Khulna,43579,17635,46.89,4.325,76275,56804,22987,48.65,4.487,103155
36,Kustia,3501,1417,49.30,4.547,6443,4776,1933,51.30,4.732,9146
37,Magura,12112,4901,52.16,4.811,23582,14231,5759,50.44,4.653,26794
38,Meherpur,3420,1384,55.20,5.092,7047,3716,1504,56.05,5.170,7775
39,Narail,35001,14164,52.20,4.815,68199,39776,16096,52.30,4.824,77652
40,Satkhira,31536,12762,49.47,4.563,58234,39131,15835,49.45,4.561,72229
4,"Khulna
Division",266459,107830,52.09,4.805,518107,326592,132165,51.98,4.795,633702
41,Jamalpur.,46100,18656,48.05,4.432,82684,59260,23981,48.10,4.437,106398
42,Mymensingh,76385,30911,51.66,4.765,147296,71730,29028,53.91,4.973,144344
43,Netrokona,14413,5833,51.06,4.710,27470,27201,11008,50.87,4.692,51650
44,Sherpur,72046,29155,50.20,4.630,135002,101616,41122,46.83,4.320,177629
5,"Mymensingh
Division",208944,84555,50.32,4.641,392452,259807,105138,49.50,4.566,480021
45,Bogura,34121,13808,56.87,5.246,72432,36724,14861,55.16,5.088,75614
46,Joypurhat,45221,18300,51.91,4.788,87623,45221,18300,50.41,4.650,85091
47,Naogaon,33022,13363,55.25,5.096,68102,23956,9694,56.03,5.168,50103
48,Natore,3875,1568,57.17,5.273,8269,2079,841,58.34,5.381,4527
49,"Chapai
Nawabgonj",1704,690,48.90,4.511,3110,1704,690,48.50,4.474,3085
50,Pabna,4255,1722,55.38,5.108,8796,3518,1424,50.89,4.694,6683
51,Rajshahi,13798,5584,58.14,5.363,29945,11267,4560,55.92,5.158,23518
52,Sirajgonj,23938,9687,53.47,4.932,47778,23178,9380,54.01,4.982,46728
6,"Rajshahi
Division",159934,64722,54.62,5.038,326056,147647,59750,53.59,4.943,295349
53,Dinajpur,39633,16039,52.44,4.837,77579,40350,16329,52.03,4.799,78365
54,Gaibandha,65989,26704,52.40,4.833,129071,74438,30123,49.44,4.560,137373
55,Kurigram,57363,23214,50.28,4.638,107660,83548,33810,50.86,4.691,158613
56,Lalmonirhat,34724,14052,50.94,4.699,66026,49110,19874,43.43,4.006,79614
57,Nilphamari,63745,25796,51.80,4.778,123255,81500,32981,44.54,4.108,135499
58,Panchagar,10547,4268,52.14,4.809,20527,12494,5056,50.10,4.621,23365
59,Rangpur,103603,41926,52.19,4.814,201831,124914,50550,53.83,4.965,250994
60,Thakurgaon,22194,8981,59.54,5.492,49326,21367,8647,56.76,5.236,45270
7,"Rangpur
Division",397798,160980,52.21,4.816,775275,487721,197370,49.94,4.606,909093
61,Hobigonj,65651,26568,46.36,4.276,113609,101673,41145,46.53,4.292,176590
62,Maulovibazar,2785,1127,45.29,4.178,4708,3272,1324,46.20,4.261,5643
63,Sunamgonj,16790,6795,49.06,4.525,30747,71606,28977,48.10,4.437,128565
64,Sylhet,5590,2262,42.97,3.964,8966,10495,4247,43.43,4.006,17014
8,"Sylhet
Division",90816,36751,46.62,4.300,158030,187046,75693,46.95,4.331,327811
BANGLADESH,,1707808,691112,51.34,4.736,3273091,1935471,783243,50.91,4.696,3678373
