District name,October-18,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,382,297
Khagrachari,356,232,0,0,0,0,400,330
Rangamati,325,238,275,188,0,0,405,282
Chittagong,479,384,460,323,428,320,502,408
Coxbazar,463,338,415,319,366,275,573,388
Comilla,398,331,387,326,351,310,420,350
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,349,275,300,0,260,227,389,328
Noakhali,407,0,400,0,380,0,467,0
Lakshmipur,350,0,0,0,0,0,390,0
Feni,0,0,0,0,480,0,536,0
Chittagong Division,391,300,373,289,378,283,439,340
Sylhet,392,300,365,263,340,0,403,300
Maulavi Bazar,366,326,365,310,0,0,397,340
Sunamganj,366,290,0,0,0,0,373,291
Habiganj,352,243,0,0,370,0,376,286
Sylhet Division,369,290,365,287,355,0,387,304
Dhaka,443,400,433,370,350,320,450,0
Gazipur,465,388,0,0,370,276,484,397
Manikganj,441,254,369,250,339,225,453,350
Munshiganj,450,0,0,0,366,0,471,0
Narayanganj,405,300,379,291,390,325,419,333
Narsingdi,0,0,363,275,357,0,454,0
Faridpur,383,350,350,0,0,0,400,0
Rajbari,400,0,0,0,0,0,450,0
Madaripur,325,300,0,0,300,250,388,317
Gopalganj,444,409,397,305,313,302,464,444
Shariatpur,310,200,0,0,0,0,367,281
Tangail,374,0,360,0,358,0,415,300
Kishoreganj,0,0,406,0,368,0,418,0
Dhaka Division,404,325,382,249,351,283,433,346
Mymensing,325,230,310,200,0,0,350,250
Jamalpur,375,260,300,210,280,200,430,310
Sherpur,418,0,421,0,343,0,451,0
Netrokona,400,0,380,300,0,0,450,320
Mymensing Division,380,245,353,237,312,200,420,293
