Station,Year,Jan.,Feb.,Mar.,Apr.,May,June,July.,Aug,Sep.,Oct.,Nov.,Dec.,Yearly
Dhaka,2018,18.1,23.7,27.8,27.8,28.2,29.9,29.8,30.5,30.5,27.8,25,21.3,26.7
Tangail,2018,16.5,22.1,26.5,26.9,27.6,30,29.9,30.1,29.7,27.3,****,****,****
Mymensingh,2018,16.8,21.7,25.5,25.9,26.9,29.2,29.6,29.9,29.4,26.7,23.4,20.4,25.4
Faridpur,2018,16.7,22.7,27.1,27.6,28.3,29.7,29.4,29.8,29.9,****,****,****,****
Madaripur,2018,17.2,22.6,27,27.9,28.3,29.6,29.3,29.8,30.1,28.1,****,****,****
Srimangal,2018,17.2,21.5,25.2,26.2,26.9,29,29.8,29.7,29.3,26.2,22.6,19.5,25.3
Sylhet,2018,19.1,22.4,25.6,26,26.5,28.8,29.7,29.8,29.2,****,****,****,****
Bogura,2018,16,21.9,26.2,27.1,27.6,29.9,30,30.3,30.2,27.5,24.6,****,****
Dinajpur,2018,14.7,20.4,24.9,26.4,27.4,30,30.3,30.4,29.7,26.5,22.7,18.4,25.2
Ishurdi,2018,15.4,21.5,26.2,27.5,28.5,30.7,30,30.4,30.2,27,23.5,20.2,25.9
Rajshahi,2018,15.5,21.6,26.6,28.1,28.7,31,30.3,30.8,30.2,26.9,23.4,18.5,26
Rangpur,2018,15.4,20.4,25,26,27,29.6,30.2,30.3,29.5,26.5,23.3,19.1,25.2
sydpur,2018,15.3,20.7,24.8,26.1,27.2,29.7,30.1,30.4,29.7,26.4,22.9,18.9,25.2
chuadanga,2018,15.7,21.9,27,28.2,28.8,30.8,29.8,30.2,30.1,27.3,24,18.4,26
Jeshore,2018,16.6,22.9,27.6,28.8,29.2,30.7,30.1,30.3,30.3,****,****,****,****
Khulna,2018,17.5,23.7,27.9,28.9,29.4,30.6,29.8,30.1,30.4,28,****,****,****
Mongla,2018,18.5,24.1,28.1,29.3,29.6,30,29.3,29.6,29.9,****,****,****,****
Satkhira,2018,16.8,22.9,27.5,28.8,29.8,30.7,29.7,29.9,30.2,27.7,24.5,19,26.5
Barishal,2018,17.6,23.2,27.3,28.1,28.7,29.7,29.2,29.4,30,27.2,24.2,19.4,26.2
Bhola,2018,18,23.3,27.5,28.2,28.4,29.6,29.2,29.5,30.1,27.6,25.6,****,****
Khepupara,2018,18.4,23.8,27.5,28.8,29.6,29.5,29,29.3,30,****,****,****,****
Patuakhali,2018,18.6,24.1,28,28.7,29.1,29.8,29.1,29.6,30.1,27.6,25,20.3,26.7
Chandpur,2018,18.5,23.6,27.6,28.3,28.5,29.6,29.7,29.9,30.4,27.9,25.2,21.1,26.7
Ambagan(Ctg),2018,20,24,26.9,28.4,28.2,28.7,28.6,29.2,29.4,27,****,****,****
Chittagong,2018,19.6,23.4,26.8,28.5,28.6,28.9,28.9,29.4,29.5,27.1,25.1,21.4,26.4
Cumilla,2018,18.2,22.7,26.3,26.9,27.4,28.8,29,29.2,29.4,27,23.8,19.6,25.7
Cox's Bazar,2018,20.5,24.1,27.1,29,28.7,28.3,28.1,28.6,28.9,27,25.3,22.7,26.5
Feni,2018,18.5,23.4,27,27.9,27.8,28.8,28.7,29.1,29.5,27,25.7,****,****
Hatiya,2018,18.7,23.1,26.8,28,28.3,28.9,28.4,28.8,29.2,****,****,****,****
Kutubdia,2018,19.8,23,26.4,28.5,28.7,28.8,28.6,29.1,29.1,****,****,****,****
M.court,2018,19.1,23.7,27.4,28.2,28.3,29.2,29,29.4,29.9,27.6,25.1,20.7,26.5
Rangamati,2018,18.7,22.6,26.5,27.9,27.4,28.2,28.5,29,28.8,26.3,23.4,21.6,25.7
Sandwip,2018,18.9,23.2,26.5,27.9,27.7,28.6,28.4,28.8,29.3,27.1,****,****,****
Sitakunda,2018,18.4,22.7,26.3,28.2,28.1,29,28.8,29.2,29.3,26.9,23.9,20.8,26
Teknaf,2018,20,23.4,26.1,28.3,29.4,28.5,28.1,28.3,****,****,****,****,****
