Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,0,0,0,0,1369,1563,1563,1369,1563,1563
38,Meherpur,0,0,0,0,0,0,756,714,703,756,714,703
39,Narail,0,0,0,0,0,0,1523,1571,1584,1523,1571,1584
40,Satkhira,0,0,0,0,0,0,0,576,598,0,576,598
4,Khulna,36,36,257,425,404,370,10786,11814,11272,11211,12218,11642
41,Jamalpur,0,0,0,0,0,0,802,815,888,802,815,888
42,Mymensing,5,5,5,127,84,84,4957,4986,3961,5084,5070,4045
43,Netrakona,0,0,0,0,0,0,556,605,398,556,605,398
44,Sherpur,0,0,0,0,0,0,368,396,597,368,396,597
5,Mymensing,5,5,5,127,84,84,6683,6802,5844,6810,6886,5928
45,Bogura,0,0,0,0,0,0,1492,1482,1615,1492,1482,1615
46,Joypurhat,0,0,0,0,0,0,217,219,221,217,219,221
47,Naogaon,0,0,0,0,0,0,1166,526,540,1166,526,540
48,Natore,1,2,2,12,8,11,2631,2855,3374,2643,2863,3385
49,Chapai Nawabganj,1,1,1,10,10,10,323,311,325,333,321,335
50,Pabna,0,0,0,0,0,0,522,533,550,522,533,550
51,Rajshahi,0,0,0,0,0,0,1991,1617,1779,1991,1617,1779
52,Sirajganj,0,0,0,0,0,0,1024,1083,1165,1024,1083,1165
6,Rajshahi,2,3,3,22,18,21,9366,8626,9569,9388,8644,9590
53,Dinajpur,9,9,0,45,25,33,1116,1096,1300,1161,1121,1333
54,Gaibandha,0,0,0,0,0,0,332,335,669,332,335,669
55,Kurigram,10,0,0,44,0,0,348,364,529,392,364,529
56,Lalmonirhat,0,0,0,0,0,0,502,518,628,502,518,628
57,Nilphamari,10,0,0,39,8,0,1394,1381,1464,1433,1389,1464
58,Panchagarh,0,0,0,0,0,0,1021,1229,1334,1021,1229,1334
59,Rangpur,0,0,0,0,0,0,1324,1241,1512,1324,1241,1512
60,Thakurgaon,0,0,0,0,0,0,716,430,695,716,430,695
7,Rangpur,29,9,0,128,33,33,6753,6594,8131,6881,6627,8164
61,Habiganj,0,0,0,0,0,0,1201,13,1502,1201,13,1502
62,Maulvibazar,98,98,99,1007,966,966,2236,2290,2264,3243,3256,3230
63,Sunamganj,9,2,4,90,56,52,721,706,762,811,762,814
64,Sylhet,94,89,93,117,97,112,298,284,298,415,381,410
8,Sylhet,201,189,196,1214,1119,1130,4456,3293,4826,5670,4412,5956
,BANGLADESH,812,777,1046,3768,3481,4018,62702,62079,64119,66470,65560,68137
