Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,0,0,0.00,0.000,0,237,96,81.30,7.499,719
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,0,0,0.00,0.000,0,0,0,0.00,0,0
36,Kustia,0,0,0.00,0.000,0,0,0,0.00,0,0
37,Magura,0,0,0.00,0.000,0,0,0,0.00,0,0
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0,0
39,Narail,0,0,0.00,0.000,0,0,0,0.00,0,0
40,Satkhira,0,0,0.00,0.000,0,515,208,82.05,7.568,1577
4,Khulna Division,0,0,0.00,0.000,0,752,304,81.81,7.546,2297
41,Jamalpur.,1554,629,104.95,9.681,6088,1169,473,103.95,9.588,4536
42,Mymensingh,7609,3079,101.63,9.374,28865,7633,3089,100.85,9.302,28734
43,Netrokona,3273,1325,77.58,7.156,9478,3069,1242,88.04,8.121,10086
44,Sherpur,1426,577,98.79,9.112,5258,2097,849,97.96,9.036,7668
5,"Mymensingh
Division",13862,5610,96.03,8.858,49690,13968,5653,97.86,9.027,51024
45,Bogura,41772,16904,141.88,13.087,221225,35729,14459,141.60,13.061,188848
46,Joypurhat,13317,5389,140.53,12.962,69856,14817,5996,141.23,13.027,78111
47,Naogaon,29081,11768,145.18,13.391,157595,26758,10828,145.19,13.392,145017
48,Natore,300,121,110.85,10.225,1241,49,20,142.63,13.156,261
49,"Chapai
Nawabgonj",389,157,108.99,10.053,1583,414,168,114.10,10.525,1763
50,Pabna,177,72,85.21,7.860,563,41,17,131.20,12.102,201
51,Rajshahi,10636,4304,130.60,12.046,51850,3685,1491,126.26,11.646,17367
52,Sirajgonj,1784,722,101.01,9.317,6726,642,260,121.21,11.180,2905
6,"Rajshahi
Division",97456,39438,140.37,12.948,510639,82135,33238,141.71,13.071,434472
53,Dinajpur,18050,7304,149.72,13.810,100875,16912,6844,148.99,13.743,94054
54,Gaibandha,2558,1035,97.28,8.973,9289,1647,667,150.23,13.857,9236
55,Kurigram,1949,789,119.61,11.033,8702,950,384,161.25,14.874,5718
56,Lalmonirhat,1445,585,109.73,10.121,5919,269,109,152.26,14.044,1529
57,Nilphamari,2724,1102,112.52,10.379,11441,4400,1781,112.52,10.379,18480
58,Panchagar,1535,621,115.64,10.667,6626,1566,634,112.46,10.373,6574
59,Rangpur,9240,3739,138.95,12.817,47925,14840,6005,128.15,11.821,70987
60,Thakurgaon,5343,2162,125.02,11.532,24934,4863,1968,120.90,11.152,21946
7,"Rangpur
Division",42844,17338,134.88,12.441,215710,45447,18391,134.71,12.426,228525
61,Hobigonj,2126,860,81.76,7.542,6488,1799,728,89.76,8.279,6028
62,Maulovibazar,2921,1182,91.15,8.408,9938,2699,1092,91.15,8.408,9183
63,Sunamgonj,964,390,85.87,7.921,3090,957,387,85.20,7.859,3044
64,Sylhet,936,379,77.11,7.113,2694,936,379,92.50,8.532,3232
8,Sylhet Division,6947,2811,85.65,7.901,22211,6391,2586,90.07,8.308,21486
BANGLADESH,,183413,74223,131.10,12.093,897545,180630,73097,129.57,11.951,873606
