Name of Distict/Division,March,,,,April,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,355,256,332,225,350,250,330,230
Khagrachhari,320,220,0,0,323,212,0,0
Rangamati,364,254,335,230,360,267,335,235
Chattagram,414,340,395,322,410,340,390,310
Coxs Bazar,410,320,396,300,420,350,400,320
Cumilla,324,279,300,258,340,306,310,285
Chandpur,350,250,332,0,350,250,320,0
Brahmmanbaria,352,275,330,250,360,300,325,280
Noakhali,390,0,370,0,417,0,400,0
Lakshmipur,320,0,300,0,365,250,330,225
Feni,347,0,335,0,350,0,335,0
Chattagram Division,359,274,343,264,368,281,348,269
"Sylhet
DivisionmDivision",324,250,304,230,337,250,306,220
Maulavi Bazar,317,260,279,225,348,264,320,225
Sunamganj,310,253,290,220,350,288,330,253
Habiganj,316,250,285,225,344,257,320,230
Sylhet Division,317,253,290,225,345,265,319,232
Dhaka,388,310,370,300,430,320,400,300
Gagipur,435,340,391,310,453,357,430,325
Manikganj,347,250,315,225,350,262,320,232
Munshiganj,355,0,330,0,334,0,310,0
Narayanganj,380,280,360,265,390,308,370,290
Narsindhi,323,245,300,220,380,328,360,300
Faridpur,320,0,295,0,338,0,310,0
Rajbari,330,255,310,0,325,255,300,0
Madaripur,300,238,283,220,300,228,279,210
Gopalganj,335,250,315,230,350,375,320,250
Sariatpur,320,258,300,235,346,257,325,230
Mymensingh,342,280,325,250,360,275,330,255
Jamalpur,308,0,292,225,350,0,325,253
Sherpur,314,0,298,0,320,0,300,0
Tangail,352,250,320,230,369,250,356,230
Kishoerganj,338,250,315,0,375,300,350,0
Natrokona,325,300,305,0,403,310,385,0
Dhaka Division,342,270,319,246,363,287,339,261
Barishal,376,0,350,250,372,0,352,240
Jhalokathi,420,0,390,0,426,0,395,0
Perojpur,359,233,341,213,370,273,345,240
Bhola,363,0,345,0,357,0,335,0
Patuakhali,330,0,310,0,350,0,337,0
Barguna,370,0,345,0,371,0,340,0
Barishal Division,370,233,347,232,374,273,351,240
