SL.No,Items,Year,,,,,
,,2015-16,,2016-17,,2017-18,
,,Area in (`000`acre),,Area in (`000`acre),,Area in (`000`acre),
,,Acre,Hectare,Acre,Hectare,Acre,Hectare
1.,Net cropped Area,19636,7947,19650,7950,19774,8002
2.,Gross Cropped Area,38148,15438,38256,15478,38536,15595
3.,Single Cropped Area,5566,2253,5492,2222,5514,2231
4.,Double Cropped Area,9671,3914,9711,3929,9800,3966
5.,Triple Cropped Area,4356,1763,4380,1772,4418,1788
6.,Quadruple Cropped Area,43,17,37,15,42,17
7.,Current Fallow Area,1009,408,994,402,907,367
8.,Intensity of Cropping,194,79,195,79,195,79
9.,Total Irrigated area,18405,7448,18820,7614,18990,7685
10.,"Total Cereals
( `000’ M.ton)","37156
(M.ton)",,"38141
(M.ton)",,"40666
(M.ton)",
11.,Agriculture holding,15183183 (Agriculture census -2008),,,,,
