Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,70,0,0,0,54,20,101,54,20,101
2,Barishal,0,0,220,0,0,0,333,110,306,333,110,306
3,Bhola,0,0,163,0,0,0,85,64,159,85,64,159
4,Jhallokati,0,0,70,0,0,0,133,139,102,133,139,102
5,Patuakhali,0,0,138,0,0,0,91,83,173,91,83,173
6,Pirojpur,0,0,84,0,0,0,53,71,124,53,71,124
1,Barishal,0,0,745,0,0,0,749,487,965,749,487,965
7,Bandarban,7,7,57,26,27,27,175,178,176,201,205,203
8,Brahmanbaria,0,0,89,0,0,0,272,279,290,272,279,290
9,Chandpur,0,0,163,0,0,0,251,270,270,251,270,270
10,Chattogram,0,0,178,0,0,0,466,479,584,466,479,584
11,Cumilla,0,0,227,0,0,0,792,669,650,792,669,650
12,Cox's Bazar,0,0,83,0,0,0,222,254,271,222,254,271
13,Feni,0,0,129,0,0,0,199,191,63,199,191,63
14,Khagrachhari,0,0,98,0,0,0,848,225,234,848,225,234
15,Laksmipur,0,0,282,0,0,0,384,391,390,384,391,390
16,Noakhali,0,0,171,0,0,0,190,192,190,190,192,190
17,Rangamati,3,10,196,8,10,9,410,480,442,418,490,451
2,Chattogram,10,17,1673,34,37,36,4209,3608,3560,4243,3645,3596
18,Dhaka,0,0,54,0,0,0,150,142,133,150,142,133
19,Faridpur,0,0,55,0,0,0,113,113,113,113,113,113
20,Gazipur,2,0,93,11,11,12,243,244,142,254,255,254
21,Gopalganj,0,0,53,0,32,0,63,32,81,63,64,81
22,Kishorganj,0,0,143,0,0,0,498,475,434,498,475,434
23,Madaripur,0,0,27,0,0,0,31,32,24,31,32,24
24,Manikganj,0,0,48,0,0,0,114,117,118,114,117,118
25,Munshiganj,0,0,46,0,0,0,84,90,89,84,90,89
26,Narayanganj,0,0,54,0,0,0,164,159,154,164,159,154
27,Narsingdi,0,0,63,0,0,115,183,182,536,183,182,651
28,Rajbari,0,0,21,0,0,0,20,21,25,20,21,25
29,Shariatpur,0,0,154,0,0,0,8,110,114,8,110,114
30,Tangail,0,0,275,0,0,0,475,487,509,475,487,509
3,Dhaka,2,0,1085,11,43,127,2146,2204,2472,2157,2247,2599
31,Bagerhat,0,0,131,0,0,0,50,54,48,46,54,48
32,Chuadanga,0,0,10,0,0,0,12,13,16,12,13,16
33,Jashore,0,0,85,0,0,0,129,133,139,129,133,139
34,Jhenaidah,0,0,12,0,0,0,8,15,15,8,15,15
35,Khulna,0,0,67,0,0,0,83,85,87,83,85,87
36,Kushtia,0,0,19,0,0,0,29,28,37,29,28,37
