Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,299,0,0,0,80,80,144,80,80,144
2,Barishal,0,0,1070,0,0,0,484,971,927,484,971,927
3,Bhola,0,0,466,0,0,0,177,239,284,177,239,284
4,Jhallokati,0,0,159,0,0,0,35,68,111,35,68,111
5,Patuakhali,0,0,436,0,0,0,80,34,247,80,34,247
6,Pirojpur,0,0,223,0,0,0,115,119,108,115,119,108
1,Barishal,0,0,2654,0,0,0,971,1511,1821,971,1511,1821
7,Bandarban,23,23,138,64,65,66,215,215,223,279,280,289
8,Brahmanbaria,0,0,736,0,0,0,682,900,998,682,900,998
9,Chandpur,0,0,511,0,0,0,332,361,390,332,361,390
10,Chattogram,5,5,1611,29,543,15,1416,918,1441,1445,1461,1456
11,Cumilla,0,0,1548,0,0,0,1390,1402,1257,1390,1402,1257
12,Cox's Bazar,95,95,446,27,27,0,725,734,756,752,761,756
13,Feni,0,0,401,0,0,0,277,259,251,277,259,251
14,Khagrachhari,0,4,930,0,136,11,513,392,660,513,528,671
15,Laksmipur,0,0,300,0,0,0,152,131,139,152,131,139
16,Noakhali,0,27,347,0,0,0,581,104,107,581,104,107
17,Rangamati,26,0,424,66,63,98,494,454,440,560,517,538
2,Chattogram,149,154,7392,186,834,190,6777,5870,6662,6963,6704,6852
18,Dhaka,0,0,228,0,0,0,209,229,141,209,229,141
19,Faridpur,0,0,971,0,0,0,864,758,40,864,758,40
20,Gazipur,0,0,594,0,0,0,514,506,33,514,506,33
21,Gopalganj,5,0,614,14,0,0,450,360,300,464,360,300
22,Kishorganj,0,0,675,0,0,0,1407,1648,1449,1407,1648,1449
23,Madaripur,0,0,943,0,0,0,694,641,31,694,641,31
24,Manikganj,0,0,263,0,0,0,324,326,42,324,326,42
25,Munshiganj,0,0,94,0,0,0,114,137,47,114,137,47
26,Narayanganj,0,0,112,0,0,0,110,119,122,110,119,122
27,Narsingdi,0,0,360,0,0,0,639,797,813,639,797,813
28,Rajbari,0,0,1937,0,0,0,1244,2453,47,1244,2453,47
29,Shariatpur,0,0,979,0,0,0,285,296,14,285,296,14
30,Tangail,0,0,561,0,0,0,449,490,28,449,490,28
3,Dhaka,5,0,8330,14,0,0,7303,8760,3107,7317,8760,3107
31,Bagerhat,0,0,556,0,0,0,171,170,173,171,170,173
32,Chuadanga,0,0,137,0,0,1114,156,161,641,156,161,1755
33,Jashore,0,0,911,0,0,0,959,968,968,959,968,968
34,Jhenaidah,0,0,1223,0,0,0,1081,1129,1118,1081,1129,1118
35,Khulna,0,0,408,0,0,0,331,341,353,331,341,353
36,Kushtia,65,61,3624,390,343,468,4475,4410,6844,4865,4753,7312
