Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,102,0,0,0,101,113,113,101,113,113
38,Meherpur,0,0,3,0,0,0,1,2,2,1,2,2
39,Narail,0,0,36,0,0,0,30,30,30,30,30,30
40,Satkhira,0,0,110,0,0,0,87,95,95,87,95,95
4,Khulna,17,15,1349,34,31,31,784,853,853,818,884,884
41,Jamalpur,0,0,822,0,0,0,1097,1120,1120,1097,1120,1120
42,Mymensing,0,32,2193,404,342,342,2027,1904,1904,2431,2246,2246
43,Netrakona,0,0,696,0,0,0,581,629,629,581,629,629
44,Sherpur,0,0,343,0,0,0,286,294,294,286,294,294
5,Mymensing,0,32,4055,404,342,342,3991,3947,3947,4395,4289,4289
45,Bogura,0,0,428,0,0,0,388,392,392,388,392,392
46,Joypurhat,0,0,252,0,0,0,139,148,148,139,148,148
47,Naogaon,4,0,469,26,29,29,391,271,271,417,300,300
48,Natore,0,0,110,0,0,0,164,210,210,164,210,210
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,33,0,0,0,22,24,24,22,24,24
51,Rajshahi,0,0,57,0,0,0,67,119,119,67,119,119
52,Sirajganj,0,0,291,0,0,0,227,332,332,227,332,332
6,Rajshahi,4,0,1641,26,29,29,1398,1496,1496,1424,1525,1525
53,Dinajpur,0,0,280,0,0,0,256,277,277,256,277,277
54,Gaibandha,0,0,220,0,0,0,269,228,228,269,228,228
55,Kurigram,0,0,214,0,0,0,288,207,207,288,207,207
56,Lalmonirhat,0,0,681,0,0,0,562,635,635,562,635,635
57,Nilphamari,0,0,457,0,0,0,458,467,467,458,467,467
58,Panchagarh,0,0,288,0,0,0,393,398,398,393,398,398
59,Rangpur,0,0,213,0,0,0,171,194,194,171,194,194
60,Thakurgaon,0,0,186,0,0,0,430,453,453,430,453,453
7,Rangpur,0,0,2539,0,0,0,2827,2859,2859,2827,2859,2859
61,Habiganj,0,0,39,0,0,0,41,46,46,41,46,46
62,Maulvibazar,0,0,1173,0,0,0,2475,850,850,2475,850,850
63,Sunamganj,0,0,1055,0,0,0,707,531,531,707,531,531
64,Sylhet,0,50,526,0,7,7,141,239,239,141,246,246
8,Sylhet,0,50,2793,0,7,7,3364,1666,1666,3364,1673,1673
,BANGLADESH,168,184,20918,931,1093,1066,18094,16795,16896,19025,17888,17962
