Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Pumpkin (Kharif),28070,104723,27833,103900,27500,111986
Brinjal(Kharif),46068,164667,45665,159891,45760,160145
Patal,25072,85795,24438,85966,24049,85188
Lady’s Finger,28005,53979,28106,54901,28303,56145
Ridge Gourd (Jhinga),24123,47335,25034,48851,24827,50240
Bitter Gourd (Karala),24750,54539,26250,57386,26490,57908
Arum (Kachu),56170,227918,58486,243539,55228,23023
Ash Gourd (Chalkumra),24120,71757,24742,74052,24560,74753
Cucumber,23056,63029,23355,70759,23695,65499
Long bean (Barbati),16908,25815,16085,25206,16284,25651
Indian Spinach (Puishak),25247,78665,25597,79093,25611,81903
Snake Gourd (Chichinga),18468,36836,19130,38692,18515,37342
Amaranth (Danta),27242,75165,26674,72277,26881,74899
Other Kharif vegetables,25302,47007,27263,51864,25327,47690
Karala (Kakrol),12024,27757,11882,27268,12352,28648
Sponga Gourd (Dundal),9645,18047,9960,19450,9704,19512
Colocacia (Kachur Lati),17839,46374,17642,46291,17043,42034
Sajna,0,26949,0,28632,1409,31437
"Green Papaya(katcha
Pepe)",4786,201722,7223,222711,5722,256675
Green Banana,26474,147839,27584,150264,28044,157037
Total,463369,1605918,472949,1660993,467304,1487715
