Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,43,37,42,921,673,716,1537,1564,1692,2458,2237,2408
2,Barishal,13,13,10,183,182,113,2442,2325,3121,2625,2507,3234
3,Bhola,0,0,0,0,0,0,1138,1119,1148,1138,1119,1148
4,Jhallokati,0,0,11,0,0,39,1423,1670,808,1423,1670,847
5,Patuakhali,0,0,0,0,0,0,2163,1541,2624,2163,1541,2624
6,Pirojpur,24,11,22,160,149,297,826,910,1106,986,1059,1403
1,Barishal,80,61,85,1264,1004,1165,9529,9129,10499,10793,10133,11664
7,Bandarban,152,153,153,1188,1152,1190,531,547,534,1719,1699,1724
8,Brahmanbaria,0,3,3,0,134,121,727,892,1052,727,1026,1173
9,Chandpur,15,7,0,251,166,0,1639,1748,2628,1890,1914,2628
10,Chattogram,39,38,41,394,465,490,3255,3275,3377,3649,3740,3867
11,Cumilla,0,1,1,21,198,198,1829,1776,1817,1850,1974,2015
12,Cox's Bazar,29,0,35,398,412,550,1231,1242,1259,1629,1654,1809
13,Feni,0,0,0,0,0,0,555,522,542,555,522,542
14,Khagrachhari,207,108,123,554,596,621,1468,1463,1487,2022,2059,2108
15,Laksmipur,34,28,0,998,917,0,1942,2040,3112,2940,2957,3112
16,Noakhali,0,0,0,0,0,0,3414,1740,1628,3414,1740,1628
17,Rangamati,203,215,215,3047,3513,3495,2367,2650,2250,5414,6163,5745
2,Chattogram,679,553,571,6851,7553,6665,18958,17895,19686,25809,25448,26351
18,Dhaka,53,47,49,783,855,592,1518,1657,2198,2301,2512,2790
19,Faridpur,60,60,60,1233,1234,1336,2269,2276,2526,3502,3510,3862
20,Gazipur,241,246,246,4898,2661,2717,2313,1273,1270,7211,3934,3987
21,Gopalganj,14,14,3,143,177,161,1470,1513,1522,1613,1690,1683
22,Kishorganj,29,28,40,1723,1646,1744,1621,1577,1484,3344,3223,3228
23,Madaripur,13,59,61,269,149,163,712,2570,2550,981,2719,2713
24,Manikganj,73,74,74,1320,1098,1143,2214,1781,1752,3534,2879,2895
25,Munshiganj,3,3,3,27,28,28,711,736,742,738,764,770
26,Narayanganj,5,5,5,86,95,93,1445,1417,1342,1531,1512,1435
27,Narsingdi,101,105,105,1429,1535,1616,950,1057,864,2379,2592,2480
28,Rajbari,706,688,671,2565,1851,2105,3348,3639,3472,5913,5490,5577
29,Shariatpur,0,0,0,0,0,0,438,866,969,438,866,969
30,Tangail,55,55,54,1058,761,983,4311,3346,3786,5369,4107,4769
3,Dhaka,1353,1384,1371,15534,12090,12681,23320,23708,24477,38854,35798,37158
31,Bagerhat,12,14,12,94,118,116,932,1106,1219,1026,1224,1335
32,Chuadanga,212,2128,132,2338,1789,2818,788,544,1078,3126,2333,3896
33,Jashore,379,450,513,8619,11317,13810,3567,3839,4302,12186,15156,18112
34,Jhenaidah,107,125,128,1221,514,1378,2514,1223,3312,3735,1737,4690
35,Khulna,68,70,65,374,414,360,8721,2823,2542,9095,3237,2902
36,Kushtia,100,86,84,2733,2414,2271,4221,4658,5048,6954,7072,7319
