Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,360,0,0,0,927,889,910,927,889,910
38,Meherpur,0,0,51,0,0,0,29,37,39,29,37,39
39,Narail,0,0,160,0,0,0,457,506,512,457,506,512
40,Satkhira,0,0,317,0,0,0,1271,917,922,1271,917,922
4,Khulna,0,32,2754,0,85,87,7350,7232,5375,7350,7317,5462
41,Jamalpur,0,0,104,0,0,0,113,145,99,113,145,99
42,Mymensing,0,0,228,0,0,254,810,792,425,810,792,679
43,Netrakona,0,0,79,0,0,0,126,189,195,126,189,195
44,Sherpur,0,0,49,0,0,0,63,59,64,63,59,64
5,Mymensing,0,0,460,0,0,254,1112,1185,783,1112,1185,1037
45,Bogura,0,0,136,0,0,0,0,231,225,0,231,225
46,Joypurhat,0,0,53,0,0,0,26,29,32,26,29,32
47,Naogaon,0,0,38,0,0,0,57,56,51,57,56,51
48,Natore,0,0,0,0,0,0,232,268,0,232,268,0
49,Chapai Nawabganj,0,0,65,2,0,0,65,67,29,67,67,29
50,Pabna,0,0,38,0,0,0,62,40,73,62,40,73
51,Rajshahi,0,0,83,0,0,0,133,141,144,133,141,144
52,Sirajganj,0,0,166,0,0,0,377,224,230,377,224,230
6,Rajshahi,0,0,578,2,0,0,952,1056,784,954,1056,784
53,Dinajpur,0,0,109,0,0,0,91,98,97,91,98,97
54,Gaibandha,0,0,91,0,0,0,48,53,56,48,53,56
55,Kurigram,0,0,29,0,0,0,49,40,34,49,40,34
56,Lalmonirhat,0,0,88,0,0,0,74,31,37,74,31,37
57,Nilphamari,0,0,65,0,0,0,53,74,87,53,74,87
58,Panchagarh,0,0,36,0,0,0,72,57,42,72,57,42
59,Rangpur,0,0,71,0,0,0,56,68,91,56,68,91
60,Thakurgaon,0,0,60,0,0,0,65,112,99,65,112,99
7,Rangpur,0,0,549,0,0,0,508,533,543,508,533,543
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,18,0,0,0,13,7,19,13,7,19
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,4,0,0,0,1,3,6,1,3,6
8,Sylhet,0,0,21,0,0,0,14,10,25,14,10,25
,BANGLADESH,15,37,7950,47,123,381,15424,15629,11753,15471,15752,12134
