Crop,,2015-16,,,2016-17,,,2017-18,,
,,"Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons","Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons","Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons"
DRUG & NARCOTICS,,,,,,,,,,
Tea,,148,435,64,133,615,82,165,472,78
Tobacco : Jati,,15,767,12,15,771,11,13,818,10
Tobacco : Matihari,,20,610,12,20,560,11,16,616,10
Tobacco : Verjinia,,80,801,64,78,879,69,76,903,69
Tobacco : Others,,0.40,775,0.31,0.37,765,.283,-,-,-
Total Tobacco,,115,763,88,113,763,91,105,848,89
Betelnut,,30,3,277,42,283,247,77,2,216
Betel Laeves,,59,3663,218,59,3643,214,55,3901,214
Other Drugs & Narcotics,,-,-,-,-,-,-,-,-,-
Total Drugs & Narcotics,,352,1838,647,347,1827,634,402,144,597
VEGETABLES ( Winter),,,,,,,,,,
Rabi Brinjal,,78,4335,310,80,4334,348,80,4414,356
Rabi Pumpkin,,43,4365,186,43,4474,191,42,4586,191
Cauliflower,,48,5623,268,49,5695,278,48,5705,274
Cabbage,,44,6670,296,46,6822,312,46,7020,322
Watergourc,,46,4764,218,47,4845,226,46,5044,232
Tomato,,67,5451,368,68,5686,389,70,5539,385
Radish,,65,4312,281,66,4273,280,66,4273,281
Beans,,50,2577,129,51,2665,137,51,2650,135
Carrot,,4,3590,16,5,3597,16,5,3673,19
Palongsak,,22,2346,51,22,3069,66,23,2431,55
Lalsak,,28,1839,52,28,1890,54,29,2012,59
Lausak,,15,1607,25,15,1622,25,16,1754,29
Other winter vegetable,,18,2244,40,18,2386,44,19,2194,41
Total WinterVegetables,,529,4234,2239,538,4393,2366,540,51295,2379
VEGETABLES (Summer),,,,,,,,,,
Kakrol,,12,2308,28,12,2295,27,12,2319,29
"Pumpkin, Kharif",,28,3731,105,28,3733,104,28,4072,112
"Brinjal, Kharif",,46,3574,165,46,3501,160,46,3500,160
Patal,,25,3422,86,24,3518,86,24,3542,85
Lady’s Finger,,28,1927,54,28,1953,55,28,1984,56
Jhinga,,24,1926,47,25,1951,49,25,2024,50
Karala,,25,2204,54,26,2186,57,26,2186,58
Green Banana,,26,5584,148,28,4548,150,28,5599,157
Arum,,56,4058,228,58,5164,244,55,4169,230
Chalkumra,,24,2975,72,25,2993,74,25,3044,75
Cucumber,,23,2734,63,23,3030,71,24,3764,65
Khirai,,13,3592,46,14,3597,50,14,3372,47
Puisak,,25,3116,79,26,3090,79,26,3198,82
Chichinga,,18,1995,37,19,2023,39,19,2017,37
Danta,,27,2759,75,27,2710,72,27,2786,75
Barbati,,17,1527,26,16,1567,25,16,1575,26
Dundal,,10,1871,18,10,1953,19,10,2010,20
Kachur lati,,18,2600,46,18,2624,46,17,2466,42
Shajna,,-,-,27,-,-,28,1,-,31
Katcha Papya,,5,40,202,7,26,223,6,28,257
Other Summer Vegetables,,25,1880,47,27,1902,52,4,1883,48
Total Summer Vegatbles,,476,3472,1653,487,3511,1710,468,3722,1742
"Total Vegatbles
(Winter & Summer )",,1005,3872,3892,1025,3977,4076,1008,4088,4121
