District name,November-18,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,382,290
Khagrachari,362,233,0,0,0,0,400,340
Rangamati,375,288,325,238,0,0,418,295
Chittagong,479,384,460,333,428,305,502,364
Coxbazar,463,338,404,321,366,250,566,388
Comilla,418,300,406,283,373,278,431,375
Chandpur,0,0,0,0,0,0,370,0
Brahmmanbaria,336,275,300,0,310,227,382,288
Noakhali,450,0,400,0,440,0,533,0
Lakshmipur,0,0,0,0,0,0,390,0
Feni,0,0,0,0,537,0,530,0
Chittagong Division,412,303,383,294,320,265,398,334
Sylhet,393,300,370,266,0,0,419,350
Maulavi Bazar,371,288,368,315,0,0,402,333
Sunamganj,356,260,0,0,0,0,373,291
Habiganj,352,283,0,0,370,0,356,286
Sylhet Division,368,283,369,291,370,0,388,315
Dhaka,451,380,442,350,425,300,460,400
Gazipur,465,358,0,0,380,273,509,416
Manikganj,441,254,369,250,339,225,453,350
Munshiganj,0,0,0,0,462,0,473,0
Narayanganj,450,300,444,281,400,250,460,350
Narsingdi,0,0,312,208,308,0,469,350
Faridpur,367,350,340,0,0,0,400,0
Rajbari,450,350,400,300,350,300,500,400
Madaripur,294,268,0,0,280,250,341,295
Gopalganj,464,409,397,305,313,237,472,452
Shariatpur,0,0,0,0,0,0,345,266
Tangail,414,0,363,0,300,0,433,300
Kishoreganj,0,0,406,0,368,0,418,0
Dhaka Division,422,334,386,282,357,262,441,358
Mymensing,400,380,370,290,350,250,450,380
Jamalpur,0,0,0,0,0,0,379,379
Sherpur,0,0,0,0,0,0,440,410
Netrokona,0,0,0,0,0,0,500,420
Mymensing Division,400,380,370,290,350,250,442,397
