Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,72,0,0,0,30,32,82,30,32,82
2,Barishal,0,0,562,0,0,0,590,530,527,590,530,527
3,Bhola,0,0,132,0,0,0,218,111,107,218,111,107
4,Jhallokati,0,0,106,0,0,0,60,61,67,60,61,67
5,Patuakhali,0,0,494,0,0,0,482,519,542,482,519,542
6,Pirojpur,0,0,116,0,0,0,64,80,80,64,80,80
1,Barishal,0,0,1483,0,0,0,1444,1333,1405,1444,1333,1405
7,Bandarban,16,16,82,19,21,30,144,140,131,163,161,161
8,Brahmanbaria,0,0,192,0,0,0,298,440,472,298,440,472
9,Chandpur,0,0,213,0,0,0,342,325,308,342,325,308
10,Chattogram,1,1,636,12,24,12,1425,1416,1120,1437,1440,1132
11,Cumilla,0,0,348,0,0,0,661,679,679,661,679,679
12,Cox's Bazar,0,0,80,3,0,2,88,200,90,91,200,92
13,Feni,0,0,130,0,0,0,84,69,73,84,69,73
14,Khagrachhari,14,19,667,209,228,115,861,894,1075,1070,1122,1190
15,Laksmipur,0,0,115,0,0,0,75,75,71,75,75,71
16,Noakhali,0,0,189,0,0,0,265,322,95,265,322,95
17,Rangamati,17,17,414,64,68,67,944,800,866,1008,868,933
2,Chattogram,48,53,3065,307,341,226,5187,5360,4980,5494,5701,5206
18,Dhaka,0,0,174,0,0,0,221,222,216,221,222,216
19,Faridpur,0,0,452,0,0,0,692,690,546,692,690,546
20,Gazipur,0,0,292,0,0,16,662,685,334,662,685,350
21,Gopalganj,9,9,342,8,8,0,488,488,464,496,496,464
22,Kishorganj,0,0,445,0,0,0,1076,1066,1067,1076,1066,1067
23,Madaripur,0,0,189,0,0,0,424,397,401,424,397,401
24,Manikganj,0,0,165,0,0,0,258,263,278,258,263,278
25,Munshiganj,0,0,105,0,0,0,137,143,147,137,143,147
26,Narayanganj,0,0,100,0,0,0,146,184,188,146,184,188
27,Narsingdi,0,0,288,0,0,85,603,712,838,603,712,923
28,Rajbari,0,0,149,0,0,0,219,238,238,219,238,238
29,Shariatpur,0,0,1271,0,0,0,446,691,693,446,691,693
30,Tangail,0,0,483,0,0,0,605,582,628,605,582,628
3,Dhaka,9,9,4456,8,8,101,5977,6361,6038,5985,6369,6139
31,Bagerhat,0,0,490,0,0,0,226,299,302,226,299,302
32,Chuadanga,0,0,98,0,0,0,241,245,244,241,245,244
33,Jashore,0,0,548,0,0,0,909,995,946,909,995,946
34,Jhenaidah,0,0,208,0,0,0,410,429,398,410,429,398
35,Khulna,0,0,493,0,0,0,555,562,562,555,562,562
36,Kushtia,0,0,235,0,0,0,1291,1509,1079,1291,1509,1079
