"0103-Fowl, domestic weight<=185
gram",No.,-,-,-,-,36,15,,
"0105-Live poultry other weight <=185
gram",No.,1271700,147353,116202,1353981,161534,1810845,177432,1963772
010594009902 Live poultry-other,No.,5100,4090,2798,3191,110,23,,
"0106-Live animals, other for human
food",No.,2298,1351,22743,60713,16705,24907,37934,35763
"0202- Meat bovine animals boneless,
frozen",Kg,4288,1075,5413,2078,232006,50881,1014957,243362
"0401- Milk & cream other fat 1% +
<=6%",Liter,394491,41903,747235,47322,1030372,86505,1143151,80067
Skim milk powder fat <=1.5% w/sugar,Kg,,,,,,,,
0402-Milk powder fat <=1.5% w/sugar,Kg,93904666,23152392,98275879,18292176,119659072,24743977,130077112,28553569
Milk powder not sugar fat 1.5% +,Kg,-,-,-,-,-,-,-,-
Cream powder not sugar fat 1.5% +,Kg,-,-,-,-,-,-,-,-
Milk/cream powder etc. other,Kg,-,-,-,-,-,-,-,-
Milk/cream other not containing sugar,Kg,-,-,-,-,-,-,-,-
"Milk and cream with sugar, other",Kg,-,-,-,-,-,-,-,-
"0404- Whey containing sugar/ sweet or
not",Kg,8669510,811477,6912811,567836,10032879,7475056,8903298,695310
"Butter, canned, fresh/ frozen",Kg,-,-,-,-,-,-,,
"Butter, melted (ghee)",Kg,-,-,-,-,-,-,,
040510- Butter oil,Kg,129412,53989,479219,139160,613475,747505,332299,143494
04069000- Cheese-other,Kg,331130,66844,332330,67473,445410,117284,455923,140759
0409- Natural honey,Kg,391053,77749,677240,132659,867918,216613,770136,217214
0505-Feathers used for stuffing: down,Kg,609589,3862585,4584500,2319444,398786,1712451,435400,2224037
"0508-Coral & similar material
unworked",Kg,607528,10686,1230677,12473,1085885,9532,915965,28372
