"SL
No",Nane of Region,Aman,Boro,Wheat,"Sugar-
cane",Cotton,Potato,Vegetables,"Other
Crops","Total
Irrigated
Area"
1,Bandarban,0,8,0,‘’,1,2,2,1,14
2,Khagrachari,12,26,0,1,2,2,10,8,61
3,Rangamati,0,18,0,1,0,1,6,3,29
4,Chittagong,6,173,‘’,3,‘’,10,52,29,268
5,Coxs Bazar,0,124,0,1,0,2,11,9,147
6,Comilla,4,380,2,1,0,22,20,25,454
7,Chandpur,‘’,158,1,2,0,19,7,1,188
8,Brahmmanbaria,18,253,1,0,0,1,10,2,285
9,Noakhali,‘’,143,‘’,‘’,0,‘’,6,2,151
10,Lakshmipur,0,108,‘’,‘’,0,‘’,4,7,119
11,Feni,‘’,75,‘’,‘’,‘’,1,5,7,88
,Chittagong Division,40,1461,4,9,3,60,133,94,1804
12,Sylhet,62,130,‘’,0,0,2,18,11,223
13,Maulavi Bazar,7,82,‘’,0,‘’,4,9,4,106
14,Sunamganj,56,314,‘’,‘’,0,1,11,12,394
15,Habiganj,14,190,‘’,O,0,4,10,4,223
,Sylhet Division,139,716,‘’,o,0,11,48,32,946
16,Dhaka,6,111,‘’,‘’,0,2,9,‘’,128
17,Gagipur,21,157,‘’,‘’,‘,‘’,7,2,188
18,Manikganj,17,117,1,‘’,0,2,4,19,160
19,Munshiganj,‘’,55,‘’,‘’,0,77,5,1,138
20,Narayanganj,2,58,‘’,‘’,0,4,14,1,79
21,Narsindhi,11,121,‘’,‘’,0,‘’,33,2,167
22,Faridpur,50,71,75,5,0,1,15,76,293
23,Rajbari,74,79,36,0,0,‘’,8,12,209
24,Madaripur,5,77,12,‘’,‘’,2,7,24,127
25,Gopalganj,7,184,18,‘’,0,1,5,5,220
26,Sariatpur,12,57,7,‘’,0,3,9,10,98
27,Tangail,71,418,5,1,‘’,3,22,10,530
28,Kishoerganj,11,392,2,‘’,0,9,8,4,426
,Dhaka Division,287,1894,156,5,0,104,147,166,2763
29,Mymensingh,23,608,2,1,‘’,5,29,4,672
30,Jamalpur,45,311,17,6,0,10,15,16,420
31,Sherpur,9,220,5,‘’,0,6,14,6,260
32,Sherpur,8,419,2,‘’,0,1,4,3,437
,Mymensin Division,85,1558,29,7,0,22,62,29,1789
