Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,375519,151964,47.73,4.402,669014,395637,160106,45.32,4.180,669316
34,Jhenaidah,205622,83211,46.78,4.315,359082,213297,86317,46.02,4.245,366404
35,Khulna,121063,48992,44.01,4.060,198901,120618,48811,43.19,3.984,194455
36,Kustia,84044,34011,43.29,3.993,135811,70446,28508,43.82,4.042,115237
37,Magura,83562,33816,44.45,4.100,138638,105507,42696,45.45,4.192,178989
38,Meherpur,52980,21440,43.10,3.976,85244,33674,13627,44.42,4.097,55837
39,Narail,94201,38121,44.77,4.130,157436,145950,59063,45.61,4.207,248491
40,Satkhira,183426,74228,42.72,3.941,292504,176605,71468,42.78,3.946,282007
4,"Khulna
Division",1417355,573572,45.19,4.169,2391068,1483049,600157,44.75,4.127,2477058
41,Jamalpur.,317985,128682,42.69,3.937,506653,324055,131138,42.91,3.958,519047
42,Mymensingh,650569,263271,44.18,4.075,1072834,657913,266243,45.08,4.158,1107015
43,Netrokona,347960,140812,43.38,4.001,563439,424721,171875,45.06,4.156,714290
44,Sherpur,214101,86642,44.08,4.066,352272,265164,107306,43.38,4.001,429375
5,"Mymensingh
Division",1530615,619406,43.67,4.028,2495197,1671853,676562,44.38,4.094,2769727
45,Bogura,458984,185741,42.02,3.876,719981,462129,187013,42.22,3.894,728268
46,Joypurhat,168101,68027,46.82,4.318,293753,168122,68035,44.15,4.072,277035
47,Naogaon,474473,192009,44.58,4.112,789518,491766,199007,44.32,4.088,813546
48,Natore,130013,52613,49.93,4.606,242318,146351,59225,50.25,4.635,274525
49,"Chapai
Nawabgonj",114018,46141,41.28,3.807,175669,116337,47079,42.17,3.890,183143
50,Pabna,149636,60554,43.22,3.987,241412,139165,56317,43.35,3.999,225208
51,Rajshahi,164865,66717,44.31,4.087,272701,170938,69175,42.24,3.897,269551
52,Sirajgonj,340821,137923,44.51,4.106,566275,344318,139338,45.80,4.224,588606
6,"Rajshahi
Division",2000911,809725,44.21,4.077,3301628,2039126,825190,44.14,4.072,3359883
53,Dinajpur,436172,176509,43.44,4.007,707246,433158,175290,44.31,4.087,716477
54,Gaibandha,309798,125368,41.62,3.839,481241,309132,125099,39.76,3.668,458840
55,Kurigram,264482,107030,43.40,4.003,428420,289911,117321,44.90,4.142,485934
56,Lalmonirhat,118304,47875,44.67,4.121,197277,118245,47851,40.50,3.736,178761
57,Nilphamari,198696,80408,45.61,4.207,338249,249992,101166,44.07,4.065,411224
58,Panchagar,89020,36024,44.35,4.091,147361,87250,35308,44.28,4.085,144219
59,Rangpur,328152,132796,46.18,4.260,565685,350137,141693,47.20,4.354,616865
60,Thakurgaon,148177,59964,45.76,4.221,253090,166871,67529,40.54,3.740,252528
7,"Rangpur
Division",1892801,765975,44.14,4.071,3118570,2004696,811257,43.63,4.024,3264849
61,Hobigonj,236780,95820,38.22,3.526,337832,267184,108124,39.89,3.680,397845
62,Maulovibazar,97087,39289,36.54,3.370,132412,130828,52943,36.72,3.387,179313
63,Sunamgonj,134397,54388,39.17,3.613,196500,496783,201037,39.80,3.671,738001
64,Sylhet,143099,57909,31.37,2.894,167560,192537,77916,33.54,3.094,241039
8,"Sylhet
Division",611363,247405,36.56,3.372,834305,1087332,440019,38.34,3.537,1556199
BANGLADESH,,11060337,4475876,43.63,4.025,18013749,12007983,4859367,43.67,4.028,19575819
