Period,Insecticides,,Fungicides,,"Wedicides, herbides
& similar product",,"Rodenticides and
Similar product",,Other Insecticides,,Total,
,Qnty.,Value,Qnty.,Value,Qnty.,Value,Qnty.,Value,Qnty.,Value,Qnty.,Value
1,2,3,4,5,6,7,8,9,10,11,12,13
1991-92,3021.00,393.84,288.00,34.96,212.00,42.90,589.00,116.70,3.00,1.99,4113.00,590.39
1992-93,2591.00,379.86,159.00,26.42,47.00,12.22,930.00,151.58,1.00,0.03,3728.00,570.11
1993-94,3255.00,373.72,171.00,27.00,104.00,23.13,19.00,5.18,-,-,3549.00,429.03
1994-95,2838.00,373.40,102.00,39.41,156.00,20.60,77.00,6.21,4.00,1.37,3177.00,440.99
1995-96,2739.00,464.86,270.00,58.46,337.00,47.13,1.00,1.00,195.00,9.12,3542.00,580.57
1996-97,5011.00,721.69,576.00,24.19,313.00,45.64,0.00,0.00,98.00,14.23,5998.00,805.75
1997-98,3491.00,535.17,511.00,74.43,313.00,48.04,0.00,0.00,28.00,4.24,4343.00,661.88
1998-99,4309.00,693.43,796.00,128.07,273.00,43.84,42.00,6.72,75.00,12.12,5495.00,884.18
1999-2000,5485.00,882.74,842.00,135.49,126.00,20.04,31.00,4.90,90.00,14.40,6574.00,1057.57
2000-01,3564.00,940.63,1332.00,171.06,372.00,58.01,121.00,14.07,266.00,23.99,5655.00,1207.76
2001-02,3330.00,753.42,1625.00,228.70,982.30,134.46,69.00,15.03,65.00,16.40,5771.00,1148.00
2002-03,4072.00,917.01,1776.00,292.84,704.00,142.58,77.00,17.39,89.00,11.87,6718.00,1381.70
2003-04,8732.00,1073.53,3427.00,282.55,1509.00,194.96,64.00,11.31,95.00,14.77,13827.00,1777.13
2004-05,8713.00,1170.72,5742.00,765.90,1993.00,331.93,43.00,14.86,166.00,20.17,16657.00,2303.56
2005-06,9406.00,1454.80,5662.00,1075.09,1456.00,483.98,94.00,24.08,136.00,22.60,16754.00,3060.56
2006-07,9728.00,1566.99,7646.00,1131.84,1424.00,469.83,146.00,64.25,241.00,47.83,19185.00,3262.74
2007-08,105.00,12487.00,115.00,21852.00,75.00,38613.0,-,-,23413.00,4400922.0,23708.00,4673874.0
2008-09,9477,2237516,14613,3157644,1523,593722,99,44156,225,21607,25937,6054654
2009-10,9089,2296247,9468,2382680,1804,582004,108,43196,465,46108,20934,5350235
2010-11,9990,2836482,14053,2463456,2115,688025,202,72005,463,68037,26823,6128005
2011-12,9881,3788202,14958,2492090,3010,992715,365,105695,172,63122,28386,7441824
