Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,28,0,0,0,804,809,738,804,809,738
38,Meherpur,0,0,17,0,0,0,275,309,315,275,309,315
39,Narail,0,0,19,0,0,0,502,506,541,502,506,541
40,Satkhira,0,0,25,0,0,0,366,155,5715,366,155,5715
4,Khulna,0,0,342,0,0,0,7337,7923,13392,7337,7923,13392
41,Jamalpur,0,0,24,0,0,0,662,705,615,662,705,615
42,Mymensing,0,0,44,0,0,0,1065,1048,1022,1065,1048,1022
43,Netrakona,0,0,5,0,0,0,169,820,181,169,820,181
44,Sherpur,0,0,21,0,0,0,352,374,368,352,374,368
5,Mymensing,0,0,94,0,0,0,2248,2947,2186,2248,2947,2186
45,Bogura,0,0,94,0,0,0,2031,2195,2121,2031,2195,2121
46,Joypurhat,0,0,20,0,0,0,458,457,470,458,457,470
47,Naogaon,0,0,64,0,0,0,2077,2137,179,2077,2137,179
48,Natore,0,0,40,0,0,0,1699,1779,1362,1699,1779,1362
49,Chapai Nawabganj,0,0,42,0,0,0,569,609,515,569,609,515
50,Pabna,0,0,47,0,0,0,944,1008,1011,944,1008,1011
51,Rajshahi,0,0,110,0,0,0,2017,2163,2228,2017,2163,2228
52,Sirajganj,0,0,7,0,0,0,188,118,124,188,118,124
6,Rajshahi,0,0,424,0,0,0,9983,10466,8010,9983,10466,8010
53,Dinajpur,0,0,42,0,0,0,652,699,713,652,699,713
54,Gaibandha,0,0,115,0,0,0,855,858,639,855,858,639
55,Kurigram,0,0,19,0,0,0,305,453,370,305,453,370
56,Lalmonirhat,0,0,12,0,0,0,346,329,249,346,329,249
57,Nilphamari,0,0,28,0,0,0,368,362,402,368,362,402
58,Panchagarh,0,0,20,0,0,0,335,236,360,335,236,360
59,Rangpur,0,0,34,0,0,0,740,722,783,740,722,783
60,Thakurgaon,0,0,10,0,0,0,189,209,190,189,209,190
7,Rangpur,0,0,280,0,0,0,3790,3868,3706,3790,3868,3706
61,Habiganj,0,0,2,0,0,0,69,61,62,69,61,62
62,Maulvibazar,0,0,1,0,0,0,22,23,23,22,23,23
63,Sunamganj,0,0,8,0,0,0,107,121,125,107,121,125
64,Sylhet,0,0,4,0,0,0,0,30,30,0,30,30
8,Sylhet,0,0,15,0,0,0,198,235,240,198,235,240
,BANGLADESH,0,0,1409,0,0,4,26949,28632,31433,26949,28632,31437
