"Name of
Distict/Division",July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,363,260,327,230,368,255,330,225
Khagrachari,325,230,0,0,330,242,0,0
Rangamati,375,306,345,0,410,313,380,285
Chittagong,460,340,430,315,475,350,445,320
Coxs Bazar,470,350,440,320,480,375,450,345
Comilla,392,355,355,322,395,353,360,317
Chandpur,350,0,320,0,350,0,317,0
Brahmmanbaria,390,350,360,318,400,350,370,318
Noakhali,420,0,388,0,409,0,375,0
Lakshmipur,340,0,310,0,330,0,300,0
Feni,450,0,420,0,438,0,405,0
Chittagong,394,313,370,301,399,320,373,302
DSyivlhiseito n,355,295,325,270,360,295,328,272
Maulavi Bazar,340,275,315,247,342,272,316,243
Sunamganj,300,250,270,220,305,250,275,220
Habiganj,360,272,330,242,365,270,332,242
Sylhet Division,339,273,310,245,343,272,313,244
Dhaka,450,352,428,320,432,300,400,320
Gazipur,456,350,425,318,440,330,412,304
Manikganj,384,311,350,281,366,280,335,250
Munshiganj,378,300,345,272,409,320,376,290
Narayanganj,408,317,390,290,418,325,385,0
Narsingdi,381,300,350,275,397,303,365,275
Faridpur,427,0,370,0,420,0,395,0
Rajbari,410,0,380,0,452,0,420,0
Madaripur,382,302,350,273,400,305,372,278
Gopalganj,430,315,400,285,411,342,380,309
Shariatpur,348,259,320,230,362,271,330,240
Tangail,370,280,339,250,350,282,318,250
Kishoreganj,350,0,322,0,359,0,330,0
Dhaka Division,398,309,369,279,401,306,371,280
Mymensing,368,265,328,240,354,267,320,232
Jamalpur,348,0,318,0,350,0,318,252
Sherpur,394,0,360,0,348,0,316,0
Netrokona,378,253,345,0,342,265,308,240
Mymensing,372,259,338,240,349,266,316,241
DBaivriissaiol n,400,0,375,0,394,0,379,0
Jhalokathi,458,0,428,0,460,0,430,0
Perojpur,430,300,400,0,462,350,432,320
Bhola,421,0,390,0,407,0,376,0
Patuakhali,410,0,380,0,466,0,329,0
Barguna,404,0,375,0,400,0,368,0
Barisal Division,421,300,391,0,432,350,386,320
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jessore,288,250,258,222,291,252,240,220
Jhenaidah,331,243,292,217,337,250,310,219
Magura,345,0,320,0,350,0,320,0
Narail,340,256,312,224,332,224,306,0
Khulna,365,0,330,0,368,0,332,0
Bagerhat,380,252,350,0,380,243,350,0
Satkhira,350,240,0,0,342,230,0,0
Kushtia,348,250,318,0,339,0,310,0
Chuadanga,300,0,270,0,300,0,272,0
Meherpur,272,232,242,0,310,250,280,0
Khulna Division,332,246,299,221,335,245,302,221
Rajshahi,356,275,325,245,321,282,292,251
Naogaon,324,270,300,242,310,265,278,235
Natore,347,237,320,210,339,245,310,215
Chapai,302,245,275,220,320,248,291,222
NBoagwraab ganj,332,246,302,218,335,250,302,218
Joypurhat,337,278,302,250,338,290,305,260
Pabna,390,275,360,248,392,270,355,240
Sirajganj,360,263,327,0,318,281,285,250
Rajshahi,344,261,314,233,334,266,302,236
DRiavnigspiounr,313,230,290,203,325,230,300,204
Gaibandha,267,225,0,0,260,220,0,0
Kurigram,327,230,300,205,330,228,295,202
Nilphamari,330,225,305,200,315,232,285,205
Lalmonirhat,292,228,267,202,305,230,275,203
Dinajpur,335,250,305,223,340,245,310,220
Thakurgaon,325,244,295,215,317,270,285,240
Panchagar,317,248,290,224,325,250,295,222
Rangpur,313,235,293,210,315,238,292,214
DBiAvNisGioLnA DESH,364,275,336,247,363,283,332,257
