Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,237000,95909,25.10,1.770,169803,248672,100632,18.94,1.747,175762
2,Barishal,296870,120137,20.80,2.005,240835,316372,128029,19.45,1.794,229729
3,Bhola,453423,183490,22.95,2.242,411372,432937,175200,26.86,2.478,434140
4,Jhalakathi,114194,46212,22.60,1.754,81058,124791,50500,16.05,1.480,74752
5,Patuakhali,507732,205468,27.00,1.925,395482,497217,201213,20.64,1.904,383054
6,Pirojpur,149232,60391,23.13,1.927,116390,161009,65157,15.12,1.395,90900
1,"Barishal
Division",1758451,711607,21.56,1.988,1414941,1780998,720731,20.88,1.926,1388337
7,Bandarban,23969,9700,27.10,2.535,24594,27931,11303,0.00,0.000,31365
8,Brahmanbaria,170410,68961,24.60,2.267,156360,167071,67610,24.39,2.250,152123
9,Chandpur,92040,37247,27.60,1.823,67890,106368,43045,20.44,1.886,81165
10,Chattogram,421886,170728,31.60,2.787,475889,433616,175475,27.77,2.562,449527
11,Cumilla,333732,135054,25.50,2.138,288796,333982,135155,25.67,2.368,320063
12,Cox' Bazar,189032,76497,26.62,2.588,197967,192165,77765,29.98,2.766,215066
13,Feni,162974,65952,24.10,2.682,176883,161153,65215,29.06,2.680,174808
14,Khagrachari,65463,26491,27.00,2.828,74922,69603,28167,0.00,0.000,76493
15,Laksmipur,207018,83776,22.01,2.507,210042,191794,77615,28.28,2.608,202428
16,Noakhali,314116,127116,23.63,1.992,253264,357450,144652,24.33,2.244,324630
17,Rangamati,24314,9839,22.30,2.826,27804,22569,9133,0.00,0.000,25136
2,"Chattogram
Division",2004954,811361,26.11,2.409,1954410,2063702,835135,26.65,2.458,2052804
18,Dhaka,43361,17547,24.60,1.577,27671,41307,16716,21.51,1.984,33169
19,Faridpur,163608,66209,21.00,2.341,155026,202853,82090,26.26,2.422,198852
20,Gazipur,103172,41751,26.30,2.334,97465,105027,42502,28.75,2.652,112721
21,Gopalgonj,61727,24980,27.22,1.347,33654,68153,27580,18.32,1.690,46599
22,Kishoregonj,190364,77036,23.30,2.577,198538,190324,77020,29.92,2.759,212526
23,Madaripur,63862,25844,22.99,1.618,41806,65511,26511,18.82,1.736,46016
24,Manikgonj,50925,20608,25.30,1.279,26348,96104,38891,13.35,1.231,47884
25,Munsigonj,50273,20344,26.00,1.112,22614,51263,20745,10.35,0.955,19809
26,Narayanganj,23639,9566,24.00,1.369,13100,26893,10883,16.56,1.528,16627
27,Narsingdi,88786,35930,21.70,2.235,80294,102509,41483,26.82,2.473,102605
28,Rajbari,107386,43457,26.60,2.666,115854,114303,46256,29.43,2.715,125588
29,Shariatpur,45111,18255,20.72,1.476,26951,43662,17669,17.67,1.630,28801
30,Tangail,305735,123724,22.90,2.119,262172,287839,116482,23.28,2.147,250133
3,"Dhaka
Division",1297949,525252,22.74,2.097,1101493,1395746,564828,23.83,2.198,1241330
31,Bagerhat,189701,76768,27.90,2.091,160491,176684,71500,19.44,1.793,128216
32,Chuadanga,89810,36344,30.20,2.790,101387,84487,34190,30.66,2.828,96705
